Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
Berkshire Hathaway Inc. Class B,BRK.B,08467070,2073390,14.859520,Diversified Financial Services,13643598.000,USD,,,,,,,,,,
JPMorgan Chase & Co.,JPM,46625H10,2190385,11.444627,Banks,20977070.000,USD,,,,,,,,,,
Bank of America Corp,BAC,06050510,2295677,6.702781,Banks,52480410.000,USD,,,,,,,,,,
Citigroup Inc.,C,17296742,2297907,3.463065,Banks,14330096.000,USD,,,,,,,,,,
Wells Fargo & Company,WFC,94974610,2649100,3.364242,Banks,28358964.000,USD,,,,,,,,,,
BlackRock Inc.,BLK,09247X10,2494504,3.094668,Capital Markets,975876.000,USD,,,,,,,,,,
Morgan Stanley,MS,61744644,2262314,2.735929,Capital Markets,9827381.000,USD,,,,,,,,,,
S&P Global Inc.,SPGI,78409V10,BYV2325,2.641776,Capital Markets,1658521.000,USD,,,,,,,,,,
Goldman Sachs Group Inc.,GS,38141G10,2407966,2.514439,Capital Markets,2368078.000,USD,,,,,,,,,,
American Express Company,AXP,02581610,2026082,2.427838,Consumer Finance,4489373.000,USD,,,,,,,,,,
Charles Schwab Corporation,SCHW,80851310,2779397,2.302089,Capital Markets,10195016.000,USD,,,,,,,,,,
Chubb Limited,CB,H1467J10,B3BQMF6,2.195447,Insurance,3106744.000,USD,,,,,,,,,,
Truist Financial Corporation,TFC,89832Q10,BKP7287,2.083635,Banks,9276188.000,USD,,,,,,,,,,
CME Group Inc. Class A,CME,12572Q10,2965839,1.937373,Capital Markets,2468682.000,USD,,,,,,,,,,
U.S. Bancorp,USB,90297330,2736035,1.932273,Banks,9435525.000,USD,,,,,,,,,,
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,1.848682,Insurance,3486811.000,USD,,,,,,,,,,
Intercontinental Exchange Inc.,ICE,45866F10,BFSSDS9,1.818854,Capital Markets,3863078.000,USD,,,,,,,,,,
Progressive Corporation,PGR,74331510,2705024,1.801655,Insurance,4029525.000,USD,,,,,,,,,,
PNC Financial Services Group Inc.,PNC,69347510,2692665,1.788408,Banks,2921812.000,USD,,,,,,,,,,
Aon Plc Class A,AON,G0403H10,BLP1HW5,1.534817,Insurance,1594319.000,USD,,,,,,,,,,
Moody's Corporation,MCO,61536910,2252058,1.434056,Capital Markets,1111201.000,USD,,,,,,,,,,
Capital One Financial Corporation,COF,14040H10,2654461,1.273751,Consumer Finance,3143000.000,USD,,,,,,,,,,
MetLife Inc.,MET,59156R10,2573209,1.149137,Insurance,5310615.000,USD,,,,,,,,,,
Travelers Companies Inc.,TRV,89417E10,2769503,1.108636,Insurance,1742894.000,USD,,,,,,,,,,
MSCI Inc. Class A,MSCI,55354G10,B2972D2,1.089526,Capital Markets,575461.000,USD,,,,,,,,,,
American International Group Inc.,AIG,02687478,2027342,1.082079,Insurance,5929508.000,USD,,,,,,,,,,
T. Rowe Price Group,TROW,74144T10,2702337,1.033827,Capital Markets,1562269.000,USD,,,,,,,,,,
Bank of New York Mellon Corporation,BK,06405810,B1Z77F6,1.028744,Capital Markets,5609600.000,USD,,,,,,,,,,
Allstate Corporation,ALL,02000210,2019952,1.018270,Insurance,2149528.000,USD,,,,,,,,,,
Prudential Financial Inc.,PRU,74432010,2819118,0.975196,Insurance,2718810.000,USD,,,,,,,,,,
Aflac Incorporated,AFL,00105510,2026361,0.925899,Insurance,4563473.000,USD,,,,,,,,,,
Willis Towers Watson Public Limited Company,WLTW,G9662910,BDB6Q21,0.863266,Insurance,886532.000,USD,,,,,,,,,,
State Street Corporation,STT,85747710,2842040,0.794326,Capital Markets,2425505.000,USD,,,,,,,,,,
Discover Financial Services,DFS,25470910,B1YLC43,0.759760,Consumer Finance,2109551.000,USD,,,,,,,,,,
First Republic Bank,FRC,33616C10,B4WHY15,0.746693,Banks,1184993.000,USD,,,,,,,,,,
Arthur J. Gallagher & Co.,AJG,36357610,2359506,0.720219,Insurance,1317816.000,USD,,,,,,,,,,
Ameriprise Financial Inc.,AMP,03076C10,B0J7D57,0.718753,Capital Markets,828191.000,USD,,,,,,,,,,
MarketAxess Holdings Inc.,MKTX,57060D10,B03Q9D0,0.633873,Capital Markets,261394.000,USD,,,,,,,,,,
Northern Trust Corporation,NTRS,66585910,2648668,0.628596,Capital Markets,1432594.000,USD,,,,,,,,,,
Fifth Third Bancorp,FITB,31677310,2336747,0.596391,Banks,4902099.000,USD,,,,,,,,,,
SVB Financial Group,SIVB,78486Q10,2808053,0.585964,Banks,356205.000,USD,,,,,,,,,,
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.535555,Insurance,2465842.000,USD,,,,,,,,,,
Synchrony Financial,SYF,87165B10,BP96PS6,0.532113,Consumer Finance,3736891.000,USD,,,,,,,,,,
M&T Bank Corporation,MTB,55261F10,2340168,0.509378,Banks,882788.000,USD,,,,,,,,,,
KeyCorp,KEY,49326710,2490911,0.493251,Banks,6718008.000,USD,,,,,,,,,,
Regions Financial Corporation,RF,7591EP10,B01R311,0.482127,Banks,6609104.000,USD,,,,,,,,,,
Nasdaq Inc.,NDAQ,63110310,2965107,0.459677,Capital Markets,791199.000,USD,,,,,,,,,,
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,0.452115,Banks,2937760.000,USD,,,,,,,,,,
Principal Financial Group Inc.,PFG,74251V10,2803014,0.407597,Insurance,1757549.000,USD,,,,,,,,,,
Huntington Bancshares Incorporated,HBAN,44615010,2445966,0.393452,Banks,7002053.000,USD,,,,,,,,,,
Cincinnati Financial Corporation,CINF,17206210,2196888,0.387636,Insurance,1030010.000,USD,,,,,,,,,,
Raymond James Financial Inc.,RJF,75473010,2718992,0.354175,Capital Markets,839889.000,USD,,,,,,,,,,
Loews Corporation,L,54042410,2523022,0.334500,Insurance,1640611.000,USD,,,,,,,,,,
W. R. Berkley Corporation,WRB,08442310,2093644,0.315851,Insurance,968243.000,USD,,,,,,,,,,
Cboe Global Markets Inc,CBOE,12503M10,B5834C5,0.314021,Capital Markets,748196.000,USD,,,,,,,,,,
Everest Re Group Ltd.,RE,G3223R10,2556868,0.306476,Insurance,275342.000,USD,,,,,,,,,,
