"Date","XLRE Open","XLRE Low","XLRE High","XLRE Close","XLRE Adj. Close","AMT Open","AMT Low","AMT High","AMT Close","AMT Adj. Close","PLD Open","PLD Low","PLD High","PLD Close","PLD Adj. Close","CCI Open","CCI Low","CCI High","CCI Close","CCI Adj. Close","EQIX Open","EQIX Low","EQIX High","EQIX Close","EQIX Adj. Close","DLR Open","DLR Low","DLR High","DLR Close","DLR Adj. Close","PSA Open","PSA Low","PSA High","PSA Close","PSA Adj. Close","SBAC Open","SBAC Low","SBAC High","SBAC Close","SBAC Adj. Close","WELL Open","WELL Low","WELL High","WELL Close","WELL Adj. Close","SPG Open","SPG Low","SPG High","SPG Close","SPG Adj. Close","AVB Open","AVB Low","AVB High","AVB Close","AVB Adj. Close","WY Open","WY Low","WY High","WY Close","WY Adj. Close","O Open","O Low","O High","O Close","O Adj. Close","EQR Open","EQR Low","EQR High","EQR Close","EQR Adj. Close","CBRE Open","CBRE Low","CBRE High","CBRE Close","CBRE Adj. Close","ARE Open","ARE Low","ARE High","ARE Close","ARE Adj. Close","VTR Open","VTR Low","VTR High","VTR Close","VTR Adj. Close","ESS Open","ESS Low","ESS High","ESS Close","ESS Adj. Close","PEAK Open","PEAK Low","PEAK High","PEAK Close","PEAK Adj. Close","EXR Open","EXR Low","EXR High","EXR Close","EXR Adj. Close","MAA Open","MAA Low","MAA High","MAA Close","MAA Adj. Close","DRE Open","DRE Low","DRE High","DRE Close","DRE Adj. Close","BXP Open","BXP Low","BXP High","BXP Close","BXP Adj. Close","UDR Open","UDR Low","UDR High","UDR Close","UDR Adj. Close","HST Open","HST Low","HST High","HST Close","HST Adj. Close","REG Open","REG Low","REG High","REG Close","REG Adj. Close","IRM Open","IRM Low","IRM High","IRM Close","IRM Adj. Close","KIM Open","KIM Low","KIM High","KIM Close","KIM Adj. Close","VNO Open","VNO Low","VNO High","VNO Close","VNO Adj. Close","FRT Open","FRT Low","FRT High","FRT Close","FRT Adj. Close","AIV Open","AIV Low","AIV High","AIV Close","AIV Adj. Close","SLG Open","SLG Low","SLG High","SLG Close","SLG Adj. Close"
11-20-2020,"37.24 ","36.81 ","37.25 ","36.94 ","36.94 ","238.19 ","232.50 ","238.43 ","232.66 ","232.66 ","100.05 ","98.62 ","100.82 ","100.27 ","100.27 ","168.11 ","166.25 ","168.84 ","166.97 ","166.97 ","732.97 ","725.55 ","742.32 ","728.12 ","728.12 ","143.00 ","142.01 ","144.32 ","142.70 ","142.70 ","229.01 ","223.07 ","229.18 ","223.64 ","223.64 ","298.82 ","289.09 ","298.82 ","290.10 ","290.10 ","64.93 ","63.68 ","65.05 ","64.51 ","64.51 ","80.48 ","79.26 ","81.79 ","81.12 ","81.12 ","171.02 ","169.77 ","172.64 ","171.90 ","171.90 ","29.09 ","28.57 ","29.40 ","28.75 ","28.75 ","60.92 ","60.22 ","61.24 ","60.39 ","60.39 ","59.95 ","59.77 ","60.71 ","60.56 ","60.56 ","58.25 ","57.34 ","58.59 ","58.30 ","58.30 ","163.87 ","162.88 ","164.87 ","164.14 ","164.14 ","48.51 ","47.80 ","48.77 ","48.72 ","48.72 ","254.79 ","251.94 ","256.45 ","254.10 ","254.10 ","30.68 ","29.99 ","30.68 ","30.57 ","30.57 ","112.33 ","111.34 ","113.01 ","112.69 ","112.69 ","125.91 ","124.92 ","126.49 ","126.18 ","126.18 ","38.67 ","38.22 ","38.84 ","38.41 ","38.41 ","98.13 ","96.43 ","98.61 ","98.38 ","98.38 ","39.05 ","38.64 ","39.38 ","39.23 ","39.23 ","14.48 ","13.98 ","14.48 ","14.15 ","14.15 ","47.72 ","46.83 ","47.83 ","47.26 ","47.26 ","25.62 ","25.48 ","25.80 ","25.69 ","25.69 ","14.98 ","14.72 ","15.05 ","14.95 ","14.95 ","39.74 ","39.05 ","40.38 ","39.93 ","39.93 ","90.33 ","89.44 ","91.49 ","89.78 ","89.78 ","30.85 ","30.44 ","31.05 ","30.64 ","30.64 ","57.64 ","57.37 ","58.98 ","58.83 ","58.83 "
11-19-2020,"37.08 ","36.68 ","37.26 ","37.19 ","37.19 ","237.09 ","233.37 ","238.88 ","238.43 ","238.43 ","101.02 ","99.70 ","101.60 ","99.99 ","99.99 ","170.33 ","167.17 ","170.34 ","168.09 ","168.09 ","737.73 ","727.75 ","737.73 ","730.59 ","730.59 ","141.97 ","140.41 ","143.45 ","143.00 ","143.00 ","229.75 ","227.19 ","230.63 ","228.79 ","228.79 ","297.58 ","293.48 ","300.38 ","297.76 ","297.76 ","63.44 ","62.37 ","65.36 ","65.20 ","65.20 ","75.99 ","75.49 ","81.33 ","80.63 ","80.63 ","168.64 ","164.83 ","170.57 ","170.30 ","170.30 ","28.76 ","28.45 ","29.05 ","29.02 ","29.02 ","61.05 ","60.08 ","61.48 ","61.11 ","61.11 ","59.59 ","58.56 ","60.21 ","59.86 ","59.86 ","57.72 ","56.56 ","58.59 ","58.47 ","58.47 ","162.07 ","160.66 ","163.94 ","163.74 ","163.74 ","48.00 ","47.04 ","48.76 ","48.62 ","48.62 ","252.46 ","248.30 ","256.01 ","254.15 ","254.15 ","30.16 ","29.90 ","30.63 ","30.60 ","30.60 ","112.84 ","111.25 ","113.61 ","112.62 ","112.62 ","125.31 ","123.43 ","126.72 ","126.14 ","126.14 ","38.63 ","38.40 ","38.94 ","38.69 ","38.69 ","95.20 ","94.12 ","97.96 ","97.42 ","97.42 ","38.23 ","37.69 ","38.87 ","38.80 ","38.80 ","13.97 ","13.55 ","14.50 ","14.45 ","14.45 ","46.28 ","45.31 ","47.95 ","47.76 ","47.76 ","25.78 ","25.47 ","25.94 ","25.79 ","25.79 ","14.45 ","14.29 ","15.00 ","14.98 ","14.98 ","39.45 ","38.73 ","40.16 ","39.84 ","39.84 ","89.96 ","88.29 ","91.43 ","90.79 ","90.79 ","31.11 ","30.50 ","31.66 ","30.84 ","30.84 ","57.30 ","56.53 ","59.15 ","57.95 ","57.95 "
11-18-2020,"37.80 ","37.11 ","38.15 ","37.13 ","37.13 ","238.31 ","237.21 ","242.31 ","237.70 ","237.70 ","104.18 ","101.37 ","104.64 ","101.40 ","101.40 ","166.29 ","165.95 ","172.13 ","170.65 ","170.65 ","747.89 ","733.37 ","758.10 ","734.32 ","734.32 ","142.23 ","141.66 ","145.11 ","142.40 ","142.40 ","234.02 ","229.79 ","236.66 ","229.96 ","229.96 ","296.90 ","295.45 ","302.75 ","298.52 ","298.52 ","65.96 ","63.77 ","66.88 ","63.83 ","63.83 ","77.87 ","76.60 ","81.04 ","76.61 ","76.61 ","174.96 ","169.56 ","175.67 ","169.60 ","169.60 ","29.13 ","28.77 ","29.53 ","28.78 ","28.78 ","62.90 ","61.14 ","63.60 ","61.19 ","61.19 ","62.69 ","59.94 ","63.01 ","59.96 ","59.96 ","60.43 ","58.07 ","60.43 ","58.13 ","58.13 ","165.43 ","162.52 ","167.06 ","162.53 ","162.53 ","50.62 ","48.20 ","50.81 ","48.21 ","48.21 ","260.30 ","253.22 ","261.32 ","254.20 ","254.20 ","30.82 ","30.34 ","31.32 ","30.35 ","30.35 ","117.84 ","113.12 ","117.91 ","113.12 ","113.12 ","131.19 ","126.06 ","131.97 ","126.07 ","126.07 ","39.85 ","38.79 ","40.09 ","38.81 ","38.81 ","98.71 ","96.12 ","99.89 ","96.12 ","96.12 ","40.31 ","38.61 ","40.44 ","38.62 ","38.62 ","14.09 ","13.80 ","14.45 ","14.15 ","14.15 ","48.06 ","47.04 ","49.83 ","47.12 ","47.12 ","25.94 ","25.78 ","26.38 ","25.90 ","25.90 ","15.10 ","14.54 ","15.45 ","14.55 ","14.55 ","41.84 ","39.78 ","41.92 ","39.79 ","39.79 ","91.54 ","90.41 ","93.53 ","90.65 ","90.65 ","32.18 ","31.32 ","32.54 ","31.32 ","31.32 ","60.53 ","57.20 ","61.16 ","57.22 ","57.22 "
11-17-2020,"37.52 ","37.24 ","37.91 ","37.77 ","37.77 ","239.00 ","238.31 ","240.87 ","239.18 ","239.18 ","102.63 ","101.33 ","104.37 ","104.20 ","104.20 ","165.10 ","164.50 ","166.89 ","166.34 ","166.34 ","750.61 ","743.82 ","755.00 ","751.18 ","751.18 ","141.86 ","140.39 ","143.28 ","142.42 ","142.42 ","232.73 ","230.84 ","236.66 ","234.54 ","234.54 ","294.04 ","293.72 ","300.67 ","298.78 ","298.31 ","65.38 ","64.27 ","66.66 ","65.95 ","65.95 ","77.95 ","76.98 ","81.33 ","78.96 ","78.96 ","171.46 ","170.01 ","175.45 ","174.12 ","174.12 ","29.04 ","28.70 ","29.38 ","29.18 ","29.18 ","63.76 ","62.36 ","63.81 ","62.82 ","62.82 ","61.84 ","60.92 ","62.93 ","62.50 ","62.50 ","58.98 ","58.02 ","60.97 ","60.49 ","60.49 ","164.77 ","163.41 ","165.44 ","165.29 ","165.29 ","50.04 ","49.00 ","51.07 ","50.49 ","50.49 ","260.03 ","258.21 ","264.25 ","260.00 ","260.00 ","30.43 ","30.05 ","31.02 ","30.81 ","30.81 ","117.23 ","116.23 ","118.33 ","117.87 ","117.87 ","131.25 ","129.97 ","132.09 ","130.91 ","130.91 ","39.67 ","39.38 ","40.20 ","39.85 ","39.85 ","95.15 ","94.22 ","99.37 ","98.46 ","98.46 ","39.79 ","39.41 ","40.48 ","40.28 ","40.28 ","13.43 ","13.15 ","14.18 ","14.14 ","14.14 ","48.15 ","47.18 ","48.89 ","48.27 ","48.27 ","25.91 ","25.66 ","26.10 ","25.90 ","25.90 ","14.88 ","14.59 ","15.21 ","15.07 ","15.07 ","39.31 ","38.70 ","42.15 ","41.49 ","41.49 ","91.23 ","89.69 ","91.90 ","91.31 ","91.31 ","31.76 ","31.61 ","32.56 ","32.29 ","32.29 ","56.18 ","55.36 ","61.14 ","60.26 ","60.26 "
11-16-2020,"38.19 ","37.30 ","38.27 ","37.75 ","37.75 ","244.76 ","238.85 ","245.59 ","239.09 ","239.09 ","104.46 ","100.85 ","104.68 ","103.26 ","103.26 ","169.27 ","164.50 ","169.42 ","165.42 ","165.42 ","759.88 ","733.61 ","761.79 ","755.09 ","752.43 ","145.00 ","140.41 ","145.15 ","142.00 ","142.00 ","236.82 ","228.75 ","236.82 ","233.69 ","233.69 ","303.12 ","294.33 ","306.59 ","295.41 ","294.95 ","67.65 ","65.38 ","68.24 ","66.42 ","66.42 ","79.95 ","78.85 ","82.42 ","78.96 ","78.96 ","176.28 ","170.58 ","176.79 ","173.35 ","173.35 ","29.59 ","29.11 ","29.71 ","29.36 ","29.36 ","64.90 ","63.48 ","65.09 ","64.47 ","64.47 ","61.97 ","60.72 ","62.94 ","62.75 ","62.75 ","59.64 ","58.72 ","60.40 ","59.92 ","59.92 ","166.71 ","161.63 ","167.19 ","165.33 ","165.33 ","52.22 ","50.20 ","52.70 ","51.00 ","51.00 ","263.66 ","256.52 ","264.90 ","262.95 ","262.95 ","30.60 ","30.05 ","30.96 ","30.73 ","30.73 ","119.20 ","115.05 ","119.32 ","117.91 ","117.91 ","135.52 ","131.22 ","136.28 ","132.30 ","132.30 ","40.86 ","39.56 ","40.99 ","39.89 ","39.89 ","96.05 ","94.27 ","97.36 ","96.60 ","96.60 ","40.28 ","39.30 ","40.64 ","40.27 ","40.27 ","14.00 ","13.39 ","14.04 ","13.72 ","13.72 ","47.83 ","46.62 ","49.52 ","49.01 ","49.01 ","25.95 ","25.61 ","26.20 ","26.09 ","26.09 ","15.13 ","14.66 ","15.47 ","15.23 ","15.23 ","40.50 ","39.21 ","41.16 ","39.93 ","39.93 ","95.16 ","90.73 ","95.61 ","92.74 ","92.74 ","32.26 ","31.34 ","32.57 ","32.20 ","32.20 ","59.09 ","55.23 ","59.80 ","56.70 ","56.70 "
11-13-2020,"36.87 ","36.87 ","37.60 ","37.51 ","37.51 ","239.76 ","237.69 ","243.72 ","243.09 ","243.09 ","103.17 ","102.60 ","103.98 ","103.53 ","103.53 ","167.51 ","165.64 ","168.37 ","168.01 ","168.01 ","761.91 ","752.65 ","763.60 ","760.81 ","758.13 ","142.61 ","141.01 ","144.99 ","144.65 ","144.65 ","232.70 ","231.44 ","235.39 ","234.05 ","234.05 ","298.31 ","296.81 ","304.35 ","304.00 ","303.53 ","62.81 ","62.81 ","65.93 ","65.57 ","65.57 ","71.63 ","70.80 ","75.15 ","74.70 ","74.70 ","167.39 ","167.28 ","169.52 ","169.34 ","169.34 ","28.05 ","27.96 ","29.19 ","29.14 ","29.14 ","61.93 ","61.93 ","63.20 ","63.05 ","63.05 ","58.70 ","58.38 ","60.43 ","60.15 ","60.15 ","56.02 ","55.73 ","58.06 ","57.83 ","57.83 ","161.60 ","161.54 ","164.76 ","164.37 ","164.37 ","48.12 ","47.99 ","50.26 ","50.10 ","50.10 ","249.02 ","247.53 ","256.08 ","254.91 ","254.91 ","28.79 ","28.74 ","29.75 ","29.71 ","29.71 ","117.57 ","116.14 ","117.92 ","117.72 ","117.72 ","129.17 ","128.65 ","132.88 ","132.35 ","132.35 ","40.13 ","39.77 ","40.42 ","40.33 ","40.33 ","88.01 ","87.95 ","91.71 ","91.62 ","91.62 ","38.32 ","38.29 ","39.01 ","38.87 ","38.87 ","12.32 ","12.27 ","13.29 ","13.25 ","13.25 ","44.47 ","43.92 ","45.99 ","45.73 ","45.73 ","25.63 ","24.85 ","25.89 ","25.49 ","25.49 ","13.76 ","13.75 ","14.37 ","14.22 ","14.22 ","36.42 ","36.36 ","38.53 ","38.51 ","38.51 ","86.19 ","86.19 ","89.22 ","88.47 ","88.47 ","29.99 ","29.99 ","31.27 ","31.09 ","31.09 ","53.01 ","52.78 ","55.49 ","54.81 ","54.81 "
11-12-2020,"36.94 ","36.45 ","37.16 ","36.67 ","36.67 ","239.60 ","236.46 ","240.30 ","238.01 ","238.01 ","102.62 ","101.50 ","103.69 ","102.62 ","102.62 ","164.32 ","164.00 ","167.13 ","166.95 ","166.95 ","764.42 ","751.67 ","764.51 ","760.31 ","757.63 ","141.40 ","140.15 ","142.61 ","141.40 ","141.40 ","236.65 ","228.79 ","236.65 ","231.81 ","231.81 ","298.50 ","293.27 ","304.48 ","296.97 ","296.51 ","65.31 ","62.70 ","65.98 ","63.58 ","63.58 ","71.66 ","68.01 ","72.63 ","69.14 ","69.14 ","168.19 ","164.41 ","168.59 ","166.50 ","166.50 ","28.33 ","27.50 ","28.60 ","27.75 ","27.75 ","62.90 ","61.14 ","62.90 ","61.77 ","61.77 ","59.21 ","57.75 ","59.53 ","58.52 ","58.52 ","56.05 ","54.90 ","56.14 ","55.28 ","55.28 ","162.57 ","159.92 ","163.18 ","161.37 ","161.37 ","48.17 ","46.64 ","48.42 ","47.75 ","47.75 ","251.40 ","243.47 ","251.40 ","247.18 ","247.18 ","28.99 ","28.09 ","28.99 ","28.58 ","28.58 ","118.17 ","114.46 ","118.30 ","115.58 ","115.58 ","130.46 ","127.43 ","130.67 ","128.75 ","128.75 ","40.03 ","39.72 ","40.47 ","40.37 ","40.12 ","89.88 ","86.33 ","90.23 ","87.09 ","87.09 ","38.39 ","37.46 ","38.68 ","38.12 ","38.12 ","12.66 ","12.05 ","12.75 ","12.21 ","12.21 ","46.91 ","42.95 ","46.91 ","43.90 ","43.90 ","26.55 ","25.47 ","26.56 ","25.58 ","25.58 ","13.86 ","13.43 ","14.03 ","13.55 ","13.55 ","36.89 ","35.30 ","37.57 ","36.03 ","36.03 ","87.52 ","83.12 ","88.15 ","85.33 ","85.33 ","30.14 ","29.18 ","30.40 ","29.84 ","29.84 ","53.99 ","51.62 ","55.58 ","52.13 ","52.13 "
11-11-2020,"36.96 ","36.67 ","37.27 ","37.05 ","37.05 ","234.82 ","233.31 ","241.48 ","238.45 ","238.45 ","100.82 ","99.65 ","102.32 ","102.02 ","102.02 ","161.74 ","160.97 ","167.29 ","164.64 ","164.64 ","731.14 ","728.42 ","763.35 ","760.85 ","758.17 ","138.19 ","137.27 ","141.69 ","140.99 ","140.99 ","235.35 ","232.32 ","237.00 ","235.82 ","235.82 ","292.82 ","290.52 ","304.77 ","298.59 ","298.13 ","67.54 ","64.84 ","67.54 ","65.52 ","65.52 ","77.98 ","72.52 ","78.50 ","73.41 ","73.41 ","171.20 ","167.21 ","171.20 ","168.82 ","168.82 ","28.04 ","27.59 ","28.81 ","28.39 ","28.39 ","64.32 ","62.44 ","64.33 ","63.44 ","63.44 ","61.00 ","59.00 ","61.45 ","59.59 ","59.59 ","56.94 ","55.34 ","56.94 ","56.31 ","56.31 ","162.32 ","160.71 ","163.57 ","162.75 ","162.75 ","48.25 ","46.91 ","48.54 ","48.43 ","48.43 ","259.57 ","246.08 ","259.57 ","246.75 ","246.75 ","29.48 ","28.59 ","29.48 ","29.08 ","29.08 ","116.06 ","114.63 ","118.12 ","117.99 ","117.99 ","130.84 ","128.71 ","131.30 ","131.22 ","131.22 ","40.10 ","39.49 ","40.36 ","40.33 ","40.08 ","91.99 ","88.26 ","91.99 ","90.80 ","90.80 ","39.93 ","38.40 ","40.23 ","38.68 ","38.68 ","13.18 ","12.66 ","13.37 ","12.82 ","12.82 ","46.34 ","44.07 ","46.64 ","46.07 ","46.07 ","27.31 ","26.32 ","27.70 ","26.46 ","26.46 ","13.93 ","13.23 ","14.16 ","14.14 ","14.14 ","38.69 ","37.03 ","39.02 ","37.47 ","37.47 ","93.62 ","88.31 ","93.62 ","90.32 ","90.32 ","30.00 ","29.35 ","30.47 ","30.45 ","30.45 ","56.75 ","54.04 ","56.89 ","55.65 ","55.65 "
11-10-2020,"36.62 ","36.46 ","36.99 ","36.77 ","36.77 ","238.93 ","230.22 ","238.93 ","232.38 ","232.38 ","100.00 ","98.14 ","100.56 ","99.94 ","99.94 ","161.78 ","157.67 ","162.07 ","160.42 ","160.42 ","740.51 ","713.51 ","741.25 ","726.77 ","724.21 ","138.56 ","134.42 ","138.95 ","135.82 ","135.82 ","222.23 ","221.02 ","234.18 ","234.04 ","234.04 ","297.08 ","285.97 ","297.08 ","290.64 ","290.19 ","67.13 ","65.86 ","69.36 ","67.84 ","67.84 ","76.70 ","75.31 ","84.49 ","78.84 ","78.84 ","165.29 ","164.55 ","174.49 ","171.79 ","171.79 ","27.92 ","27.40 ","28.03 ","27.78 ","27.78 ","61.79 ","61.38 ","64.75 ","64.67 ","64.67 ","59.63 ","59.63 ","62.77 ","61.44 ","61.44 ","58.09 ","56.22 ","59.15 ","56.53 ","56.53 ","154.51 ","153.62 ","161.88 ","161.76 ","161.76 ","47.23 ","47.11 ","49.35 ","48.39 ","48.39 ","254.51 ","254.32 ","265.13 ","258.94 ","258.94 ","29.00 ","28.72 ","29.74 ","29.36 ","29.36 ","106.92 ","106.33 ","115.51 ","115.51 ","115.51 ","126.06 ","125.77 ","130.19 ","130.16 ","130.16 ","38.47 ","38.24 ","39.58 ","39.57 ","39.32 ","89.39 ","88.63 ","93.34 ","92.53 ","92.53 ","38.30 ","38.24 ","40.34 ","39.92 ","39.92 ","13.59 ","13.24 ","13.77 ","13.38 ","13.38 ","45.95 ","45.75 ","48.12 ","46.75 ","46.75 ","26.67 ","26.61 ","27.29 ","27.16 ","27.16 ","13.54 ","13.52 ","14.41 ","14.14 ","14.14 ","38.74 ","37.74 ","39.79 ","39.02 ","39.02 ","90.91 ","90.54 ","94.99 ","94.08 ","94.08 ","28.72 ","28.57 ","30.32 ","29.81 ","29.81 ","59.49 ","55.12 ","62.33 ","57.13 ","57.13 "
11-09-2020,"37.35 ","36.48 ","39.11 ","36.57 ","36.57 ","249.16 ","236.95 ","253.08 ","237.98 ","237.98 ","111.56 ","99.30 ","112.37 ","99.61 ","99.61 ","167.17 ","161.45 ","169.42 ","161.78 ","161.78 ","797.59 ","737.93 ","805.17 ","743.21 ","740.59 ","149.87 ","138.00 ","150.83 ","138.22 ","138.22 ","240.74 ","220.92 ","240.74 ","222.08 ","222.08 ","309.11 ","295.99 ","311.64 ","297.47 ","297.01 ","60.95 ","60.63 ","72.24 ","66.66 ","66.66 ","74.87 ","73.10 ","82.50 ","79.10 ","79.10 ","158.98 ","158.98 ","184.49 ","164.69 ","164.69 ","30.00 ","28.08 ","30.38 ","28.14 ","28.14 ","61.50 ","61.21 ","64.30 ","61.60 ","61.60 ","57.60 ","57.58 ","67.42 ","59.28 ","59.28 ","57.28 ","57.28 ","62.41 ","58.15 ","58.15 ","164.68 ","153.65 ","169.47 ","154.07 ","154.07 ","43.49 ","42.83 ","52.50 ","46.85 ","46.85 ","246.94 ","246.94 ","276.14 ","254.45 ","254.45 ","30.06 ","28.67 ","32.70 ","29.11 ","28.74 ","119.64 ","106.77 ","121.07 ","106.92 ","106.92 ","130.76 ","125.55 ","137.54 ","125.61 ","125.61 ","42.49 ","38.26 ","43.18 ","38.66 ","38.42 ","83.28 ","83.28 ","96.44 ","88.77 ","88.77 ","36.67 ","36.64 ","41.30 ","38.15 ","38.15 ","13.00 ","12.76 ","14.98 ","13.64 ","13.64 ","38.00 ","37.63 ","47.22 ","45.96 ","45.96 ","28.22 ","26.61 ","28.95 ","26.65 ","26.65 ","11.74 ","11.72 ","13.96 ","13.57 ","13.57 ","37.71 ","37.09 ","41.27 ","38.69 ","38.69 ","75.60 ","75.12 ","94.32 ","91.61 ","91.61 ","28.17 ","28.13 ","30.97 ","28.78 ","28.78 ","53.46 ","52.60 ","61.20 ","60.00 ","60.00 "
