,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,-0.19734082578452053,-0.5003583875611941,0.6677649925515151
1,-2.0,-1.75,-1.5,-1.0,-0.1745148585990766,-0.4976450725703967,0.6873639112674781
2,-2.0,-1.75,-1.5,-0.75,-0.16672940448574589,-0.4950441622551143,0.6924290753395613
3,-2.0,-1.75,-1.5,-0.5,-0.13829510790003766,-0.48414738652099043,0.7208114413289942
4,-2.0,-1.75,-1.5,-0.25,-0.14539359843609376,-0.4992341227486008,0.7113027142765052
5,-2.0,-1.75,-1.5,0.0,-0.16045690084467232,-0.4835698726593325,0.6955531933589475
6,-2.0,-1.75,-1.5,0.25,-0.15982432298563948,-0.49307728889647684,0.6953576706809302
7,-2.0,-1.75,-1.5,0.5,-0.1438052251422682,-0.5019319023648539,0.709692244305046
8,-2.0,-1.75,-1.5,0.75,-0.14987759747530802,-0.4874565190855188,0.7043058140476973
9,-2.0,-1.75,-1.5,1.0,-0.11794935135837205,-0.46900626085769404,0.7339115415152132
10,-2.0,-1.75,-1.5,1.25,-0.1641514463881335,-0.44705348373215126,0.6875791573869365
11,-2.0,-1.75,-1.5,1.5,-0.24646935793692043,-0.4916058321917195,0.6146804807757329
12,-2.0,-1.75,-1.5,1.75,-0.253212302298811,-0.4868908341593007,0.6084007163614465
13,-2.0,-1.75,-1.25,-1.0,-0.16242006358824898,-0.502271647444603,0.6950481519482057
14,-2.0,-1.75,-1.25,-0.75,-0.1172086654275088,-0.4888906580692336,0.7377182309015592
15,-2.0,-1.75,-1.25,-0.5,-0.10155223190185544,-0.4774476504646108,0.7534931770783605
16,-2.0,-1.75,-1.25,-0.25,-0.1386693774372937,-0.4855804124931157,0.7146499720433357
17,-2.0,-1.75,-1.25,0.0,-0.11540236973171938,-0.47229082466192873,0.736303835785417
18,-2.0,-1.75,-1.25,0.25,-0.12083858613841444,-0.4713037137720727,0.729824985192398
19,-2.0,-1.75,-1.25,0.5,-0.05741348141928783,-0.459000630274108,0.795062539329993
20,-2.0,-1.75,-1.25,0.75,-0.10929511456219772,-0.46371387155894006,0.7412394812113543
21,-2.0,-1.75,-1.25,1.0,-0.053199652070694145,-0.4466895780050252,0.7987324072560195
22,-2.0,-1.75,-1.25,1.25,-0.035872781941912506,-0.4037933529532871,0.8166223666694747
23,-2.0,-1.75,-1.25,1.5,-0.0964193888883753,-0.4517207858723512,0.7499960545408216
24,-2.0,-1.75,-1.25,1.75,-0.15377316442721436,-0.44907543851057274,0.6935643189005207
25,-2.0,-1.75,-1.0,-0.75,-0.15213762049041446,-0.5021417218897425,0.7023894619520183
26,-2.0,-1.75,-1.0,-0.5,-0.12124780715937315,-0.4791777272271841,0.7320114435942827
27,-2.0,-1.75,-1.0,-0.25,-0.15646313830230654,-0.4997910261343723,0.693687488989093
28,-2.0,-1.75,-1.0,0.0,-0.14541111903336656,-0.4893954251448541,0.7035383650017265
29,-2.0,-1.75,-1.0,0.25,-0.18715519096321337,-0.501061385821933,0.6636073179241889
30,-2.0,-1.75,-1.0,0.5,-0.08462894940455275,-0.4800930668847321,0.7631820698560916
31,-2.0,-1.75,-1.0,0.75,-0.15938451659334787,-0.4894971893609742,0.6891755370122
32,-2.0,-1.75,-1.0,1.0,-0.12773182735327573,-0.48355830933033983,0.718205346090286
33,-2.0,-1.75,-1.0,1.25,-0.14202674276150717,-0.46935400489912404,0.7020608048518255
34,-2.0,-1.75,-1.0,1.5,-0.1416049333392656,-0.4948435794288325,0.6982613437112887
35,-2.0,-1.75,-1.0,1.75,-0.21356300495345384,-0.5097346483002021,0.6311908248310789
36,-2.0,-1.75,-0.75,-0.5,-0.14805181148321686,-0.4911908593958185,0.7026253007722795
37,-2.0,-1.75,-0.75,-0.25,-0.13961460096465714,-0.48477909637546723,0.7074288224991298
38,-2.0,-1.75,-0.75,0.0,-0.16972194092558335,-0.4913883085640589,0.6775247014550349
39,-2.0,-1.75,-0.75,0.25,-0.1696039134747427,-0.4780005817600773,0.6769259170829496
40,-2.0,-1.75,-0.75,0.5,-0.1108927123161641,-0.4638856407452341,0.7328498219618694
41,-2.0,-1.75,-0.75,0.75,-0.16878481480157162,-0.46757605955835424,0.6776686476494435
42,-2.0,-1.75,-0.75,1.0,-0.16662724235081613,-0.4657687235332221,0.6764504533492398
43,-2.0,-1.75,-0.75,1.25,-0.1450618034820933,-0.42707620150918313,0.696548583081226
44,-2.0,-1.75,-0.75,1.5,-0.16789201727047012,-0.4384419986789915,0.6716476154414939
45,-2.0,-1.75,-0.75,1.75,-0.23643075401156818,-0.46836415413690646,0.606211521382112
46,-2.0,-1.75,-0.5,-0.25,-0.14168132049457655,-0.4877556260569238,0.70491348564898
47,-2.0,-1.75,-0.5,0.0,-0.19353744485320834,-0.4921697860001797,0.6569858012312288
48,-2.0,-1.75,-0.5,0.25,-0.19231792754851748,-0.48586593022446956,0.6576441727238326
49,-2.0,-1.75,-0.5,0.5,-0.1222896553228637,-0.47779748256440413,0.7226410889382093
50,-2.0,-1.75,-0.5,0.75,-0.18066867802683673,-0.4826881713408575,0.6671492556940714
51,-2.0,-1.75,-0.5,1.0,-0.21613739703198562,-0.4864839714300544,0.6334784170399026
52,-2.0,-1.75,-0.5,1.25,-0.18972577822341305,-0.44730288814689523,0.6559312608491128
53,-2.0,-1.75,-0.5,1.5,-0.23405148822243915,-0.465571835366818,0.6133343464455377
54,-2.0,-1.75,-0.5,1.75,-0.23489388124197996,-0.4556305488764777,0.6094245420661349
55,-2.0,-1.75,-0.25,0.0,-0.11751700301217322,-0.49106337794500265,0.7244473381444128
56,-2.0,-1.75,-0.25,0.25,-0.11297106523593,-0.48782904636533975,0.7272694870320835
57,-2.0,-1.75,-0.25,0.5,-0.04445979861204821,-0.45851655004542413,0.798601777640212
58,-2.0,-1.75,-0.25,0.75,-0.10018478568433645,-0.46826852418016807,0.7380680438805817
59,-2.0,-1.75,-0.25,1.0,-0.10353339720736697,-0.46379932589523054,0.7335997857316607
60,-2.0,-1.75,-0.25,1.25,-0.10411893637017063,-0.43308499934746125,0.7307448040696068
61,-2.0,-1.75,-0.25,1.5,-0.1790711192747533,-0.45731254746366345,0.6532990499314014
62,-2.0,-1.75,-0.25,1.75,-0.08913344465725748,-0.45585626844083316,0.7373501127562911
63,-2.0,-1.75,0.0,0.25,-0.10390593876360305,-0.4905131894985052,0.735940959350493
64,-2.0,-1.75,0.0,0.5,-0.014249798565929823,-0.4801279082785147,0.8333087461956179
65,-2.0,-1.75,0.0,0.75,-0.023710729303982887,-0.4897211580253281,0.8219737068606439
66,-2.0,-1.75,0.0,1.0,-0.025872460434770643,-0.479115613882622,0.8187038508490477
67,-2.0,-1.75,0.0,1.25,-0.037187033473143546,-0.4608809078694469,0.804836479719875
68,-2.0,-1.75,0.0,1.5,-0.11111894422005782,-0.49488209256790316,0.7196555339613874
69,-2.0,-1.75,0.0,1.75,-0.0008050062738585046,-0.5158247956755866,0.840406565550719
70,-2.0,-1.75,0.25,0.5,-0.08905761385841215,-0.4863072119750226,0.7490390191669779
71,-2.0,-1.75,0.25,0.75,-0.14533967071203205,-0.5010986309456336,0.6918367911349405
72,-2.0,-1.75,0.25,1.0,-0.1718341323110285,-0.4963707276910123,0.665105208248924
73,-2.0,-1.75,0.25,1.25,-0.16321417264732957,-0.48903060076285554,0.6700861879570802
74,-2.0,-1.75,0.25,1.5,-0.2792240325104895,-0.5246597731520477,0.5601142637410216
75,-2.0,-1.75,0.25,1.75,-0.1274261361864437,-0.5359801712976622,0.694201009970831
76,-2.0,-1.75,0.5,0.75,-0.036883629364610884,-0.4735107522761204,0.802503479933798
77,-2.0,-1.75,0.5,1.0,-0.10648234091504678,-0.4790392634180103,0.7253388732707333
78,-2.0,-1.75,0.5,1.25,-0.056601779657037964,-0.44971930671932303,0.7737125595685903
79,-2.0,-1.75,0.5,1.5,-0.15441650990418807,-0.4824708257992748,0.6660362272296944
80,-2.0,-1.75,0.5,1.75,-0.07762752234831896,-0.515004872381198,0.7381404470730458
81,-2.0,-1.75,0.75,1.0,-0.14277109289411888,-0.5001711742867458,0.6850833108792719
82,-2.0,-1.75,0.75,1.25,-0.011650631263584227,-0.4739020029318868,0.8225828979297579
83,-2.0,-1.75,0.75,1.5,0.00011589415527232152,-0.5012463468326032,0.8305725930590306
84,-2.0,-1.75,0.75,1.75,0.013885272376388352,-0.5043835848269216,0.8424892147926477
85,-2.0,-1.75,1.0,1.25,-0.04454010521895293,-0.49113441995200513,0.7828223822907504
86,-2.0,-1.75,1.0,1.5,-0.09857893550317101,-0.525783620200517,0.7138748389752226
87,-2.0,-1.75,1.0,1.75,-0.07710320746520406,-0.5305475917877671,0.7325331945109363
88,-2.0,-1.75,1.25,1.5,-0.35433088439973187,-0.5488969188457713,0.475288899687623
89,-2.0,-1.75,1.25,1.75,-0.09013769611693617,-0.5693027861143134,0.6991899193728238
90,-2.0,-1.75,1.5,1.75,-0.2959660985751443,-0.5544349218815134,0.49626888815628983
91,-2.0,-1.5,-1.25,-1.0,-0.09603298788770555,-0.36664344277019334,0.7817384108869622
92,-2.0,-1.5,-1.25,-0.75,-0.04738511093918734,-0.36241922251297265,0.829423243302945
93,-2.0,-1.5,-1.25,-0.5,-0.030480052063929078,-0.3535361543395884,0.8469642830863737
94,-2.0,-1.5,-1.25,-0.25,-0.07089984040862744,-0.37962918327703643,0.8035525375166563
95,-2.0,-1.5,-1.25,0.0,-0.04604211073673397,-0.36859755857589427,0.8274017408722468
96,-2.0,-1.5,-1.25,0.25,-0.05200474421422807,-0.3592572452126155,0.8197415589113507
