,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,-0.6025791384033276,-0.3795703886403735,0.4599505027966922
1,-2.0,-1.75,-1.5,-1.0,-0.600777086325405,-0.37979108811466566,0.45715282449182093
2,-2.0,-1.75,-1.5,-0.75,-0.5643913851031199,-0.37116252149303564,0.47540859518546047
3,-2.0,-1.75,-1.5,-0.5,-0.6359903416570908,-0.37434967597482993,0.43716976087770115
4,-2.0,-1.75,-1.5,-0.25,-0.5960798703399292,-0.3668979186812483,0.4566019528718926
5,-2.0,-1.75,-1.5,0.0,-0.5334944508449115,-0.37343985160700155,0.4887919182601114
6,-2.0,-1.75,-1.5,0.25,-0.46925612931308053,-0.3658144483020287,0.5225668545131943
7,-2.0,-1.75,-1.5,0.5,-0.6000336619085939,-0.3593873959310411,0.4493767882254252
8,-2.0,-1.75,-1.5,0.75,-0.6723767116850934,-0.36313909643287934,0.4112773090499369
9,-2.0,-1.75,-1.5,1.0,-0.5849424305542475,-0.37347171260034984,0.4534007895083968
10,-2.0,-1.75,-1.5,1.25,-0.6030129591242714,-0.3476460234380552,0.4365464275844934
11,-2.0,-1.75,-1.5,1.5,-0.6980197117718935,-0.351489159690479,0.39297817240051264
12,-2.0,-1.75,-1.5,1.75,-0.6672935703288115,-0.33031913287792325,0.40998672603155756
13,-2.0,-1.75,-1.25,-1.0,-0.5742299251041965,-0.3822236340869032,0.47139338707394357
14,-2.0,-1.75,-1.25,-0.75,-0.5480880949638763,-0.378374708412222,0.483757211952612
15,-2.0,-1.75,-1.25,-0.5,-0.6162606724769879,-0.3796156802569932,0.44724508220812687
16,-2.0,-1.75,-1.25,-0.25,-0.5611344997336271,-0.37662223399727146,0.4747366814831408
17,-2.0,-1.75,-1.25,0.0,-0.4949796836125809,-0.38669292065775773,0.5099622433551635
18,-2.0,-1.75,-1.25,0.25,-0.4411669093591463,-0.38311870114843216,0.5390895815992639
19,-2.0,-1.75,-1.25,0.5,-0.558747924547209,-0.3820976639546121,0.4692311774753351
20,-2.0,-1.75,-1.25,0.75,-0.5648409401575428,-0.3758937720565224,0.4653359984926965
