,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.876764033965497,-0.23416218715595438,1.987347157585894
1,-2.0,-1.75,-1.5,-1.0,0.8885785654016515,-0.22831058025601814,2.010651204513951
2,-2.0,-1.75,-1.5,-0.75,0.9088500109864016,-0.22675384560292422,2.0587612521388445
3,-2.0,-1.75,-1.5,-0.5,0.8901715616306441,-0.2492830624480602,2.033490010618736
4,-2.0,-1.75,-1.5,-0.25,0.9093732878317751,-0.2381727638938912,2.0697380107106556
5,-2.0,-1.75,-1.5,0.0,0.9543155036673644,-0.23512752260634417,2.162108956406027
6,-2.0,-1.75,-1.5,0.25,0.9283995975044789,-0.23462944361330074,2.1142187977612954
7,-2.0,-1.75,-1.5,0.5,0.8657056884674104,-0.24165913941410355,2.00971824348106
8,-2.0,-1.75,-1.5,0.75,0.9509379427004384,-0.22975200140464735,2.1605933192316495
9,-2.0,-1.75,-1.5,1.0,1.0425062242169973,-0.24948108060571295,2.358488887359992
10,-2.0,-1.75,-1.5,1.25,0.889875760667265,-0.22529429293059644,2.0693838839043432
11,-2.0,-1.75,-1.5,1.5,0.8359684950209468,-0.24027792302391615,1.9712608254844155
12,-2.0,-1.75,-1.5,1.75,0.8646584127248946,-0.24211884578852427,2.0340424485540534
13,-2.0,-1.75,-1.25,-1.0,0.886819625643391,-0.22629246962842542,2.0115241216003885
14,-2.0,-1.75,-1.25,-0.75,0.8936876277269723,-0.22581219122450413,2.0353003899537363
15,-2.0,-1.75,-1.25,-0.5,0.8832319887742088,-0.2488044879572746,2.0260317045515555
16,-2.0,-1.75,-1.25,-0.25,0.906171645160928,-0.23495484052917337,2.069506152045941
17,-2.0,-1.75,-1.25,0.0,0.9411547811161908,-0.23079748101828568,2.1432557909406
18,-2.0,-1.75,-1.25,0.25,0.9257273090679211,-0.21731175891823795,2.1081512442133734
19,-2.0,-1.75,-1.25,0.5,0.8272391555014985,-0.2222465706738821,1.9406758508997668
20,-2.0,-1.75,-1.25,0.75,0.9071904893074185,-0.21072830183833158,2.0780263712846234
21,-2.0,-1.75,-1.25,1.0,1.0128281301352036,-0.2216653058922995,2.3038436368058166
22,-2.0,-1.75,-1.25,1.25,0.9048201119798485,-0.19529014024354718,2.1019457373911883
23,-2.0,-1.75,-1.25,1.5,0.8534433807347196,-0.19881595979314737,2.008100894167474
24,-2.0,-1.75,-1.25,1.75,0.8835729929850529,-0.20520513725388412,2.075914145488538
25,-2.0,-1.75,-1.0,-0.75,0.8695263626231254,-0.23305054218952037,2.002581266560801
26,-2.0,-1.75,-1.0,-0.5,0.8796676842152402,-0.24763058653605807,2.0303343329749377
27,-2.0,-1.75,-1.0,-0.25,0.9251315770435766,-0.2399557502528611,2.1222884503275554
28,-2.0,-1.75,-1.0,0.0,0.957380007335939,-0.23264758373515693,2.1972040823064165
29,-2.0,-1.75,-1.0,0.25,0.9063441286297612,-0.2303416027860432,2.0924824382170057
30,-2.0,-1.75,-1.0,0.5,0.7942079307136068,-0.23771780099850903,1.898045128108335
31,-2.0,-1.75,-1.0,0.75,0.8600285021722838,-0.2223917219584619,2.009293144885844
32,-2.0,-1.75,-1.0,1.0,0.9661465118146642,-0.2526840138528421,2.226523464285071
33,-2.0,-1.75,-1.0,1.25,0.8493973899896866,-0.23294128273821058,2.017244667822611
34,-2.0,-1.75,-1.0,1.5,0.8944985654483668,-0.23298113006476606,2.099337205052404
35,-2.0,-1.75,-1.0,1.75,0.8348159943686574,-0.2477392019519442,1.9986999007383086
36,-2.0,-1.75,-0.75,-0.5,0.8642125675133686,-0.2426804224639364,2.002202383850099
37,-2.0,-1.75,-0.75,-0.25,0.900875682476131,-0.24402451320251362,2.077834137333253
38,-2.0,-1.75,-0.75,0.0,0.9129275782162891,-0.2356524977648765,2.1110873563950605
39,-2.0,-1.75,-0.75,0.25,0.8291582666369438,-0.24268838282523808,1.9578919836627298
40,-2.0,-1.75,-0.75,0.5,0.7716832863934341,-0.2551009519070243,1.8706388268256313
41,-2.0,-1.75,-0.75,0.75,0.8361497570317723,-0.2403377104442943,1.9808233434557678
42,-2.0,-1.75,-0.75,1.0,0.9508441335063673,-0.2668044382683368,2.2139458661119527
43,-2.0,-1.75,-0.75,1.25,0.8776456088363283,-0.24730438004932354,2.0858601983410656
44,-2.0,-1.75,-0.75,1.5,0.91089463069677,-0.2489658725650027,2.146592690101047
45,-2.0,-1.75,-0.75,1.75,0.8012250696411657,-0.2760558202952407,1.9528158545951169
46,-2.0,-1.75,-0.5,-0.25,0.8981251002313497,-0.2532099135893844,2.081028242062385
47,-2.0,-1.75,-0.5,0.0,0.8852048493481691,-0.24950817875403186,2.071342092373749
48,-2.0,-1.75,-0.5,0.25,0.8112739094056358,-0.2586502044444753,1.9398549291160356
49,-2.0,-1.75,-0.5,0.5,0.7847808541477452,-0.2703227064574857,1.9092019493607688
50,-2.0,-1.75,-0.5,0.75,0.8714640498369401,-0.25374860161992563,2.0651686212478872
51,-2.0,-1.75,-0.5,1.0,0.9722309954173266,-0.2714030318133335,2.2782920168724345
52,-2.0,-1.75,-0.5,1.25,0.8420553178386037,-0.2677120374044467,2.0362588840824416
53,-2.0,-1.75,-0.5,1.5,0.8730377586724305,-0.2553560924546384,2.0966598338164593
54,-2.0,-1.75,-0.5,1.75,0.7982051525874442,-0.27310992554811653,1.9665840938082488
55,-2.0,-1.75,-0.25,0.0,0.9664322736371023,-0.25911716284700925,2.235314059865458
56,-2.0,-1.75,-0.25,0.25,0.9126934938507161,-0.2582177243654491,2.132491768216332
57,-2.0,-1.75,-0.25,0.5,0.871820109977151,-0.26095417711763835,2.0685830191905663
58,-2.0,-1.75,-0.25,0.75,1.0079082435860935,-0.24614354359208002,2.34773454965048
59,-2.0,-1.75,-0.25,1.0,1.1159832183257716,-0.26608308800282676,2.60867310657856
60,-2.0,-1.75,-0.25,1.25,1.0027542398234186,-0.25456095220499486,2.3680692535867256
61,-2.0,-1.75,-0.25,1.5,1.0930214980022241,-0.23786982285099967,2.5835587390043924
62,-2.0,-1.75,-0.25,1.75,0.9917016258351792,-0.25970490313367756,2.38778429952509
63,-2.0,-1.75,0.0,0.25,0.942342346573681,-0.2505148625375594,2.194909822938301
64,-2.0,-1.75,0.0,0.5,0.851538008698362,-0.25721301332620006,2.0364746183144544
65,-2.0,-1.75,0.0,0.75,0.9521971268466018,-0.2409763948337863,2.24578130158849
66,-2.0,-1.75,0.0,1.0,1.0683907152239753,-0.2487703453547241,2.5178817930906088
67,-2.0,-1.75,0.0,1.25,0.9676766962493903,-0.2367016763439903,2.3171629422835616
68,-2.0,-1.75,0.0,1.5,1.0567825654266465,-0.22520684873682018,2.521878454068824
69,-2.0,-1.75,0.0,1.75,0.938607822579278,-0.2316351429676401,2.2834819400724546
70,-2.0,-1.75,0.25,0.5,0.8139369080453107,-0.2526321400564997,1.9838639905930997
71,-2.0,-1.75,0.25,0.75,0.8737688802323161,-0.2445318056175294,2.105999907149189
72,-2.0,-1.75,0.25,1.0,0.9482015221309975,-0.2579445159244216,2.278183566134496
73,-2.0,-1.75,0.25,1.25,0.8432230271706187,-0.253337386341394,2.095965479749404
74,-2.0,-1.75,0.25,1.5,0.9020690430632021,-0.25262805580341474,2.214562489719519
75,-2.0,-1.75,0.25,1.75,0.8194604227519454,-0.254908474844614,2.072095830570041
76,-2.0,-1.75,0.5,0.75,0.8213301579631705,-0.2718949515422796,2.0149545203216697
77,-2.0,-1.75,0.5,1.0,0.9247355805657794,-0.270668137546732,2.24428878505749
78,-2.0,-1.75,0.5,1.25,0.851444760918509,-0.2652533274100395,2.1192126414251202
79,-2.0,-1.75,0.5,1.5,0.8309062511509318,-0.2627807331486429,2.0917607706958297
80,-2.0,-1.75,0.5,1.75,0.7821472498645093,-0.26580330124600515,2.0131543568006265
81,-2.0,-1.75,0.75,1.0,1.0077480366242066,-0.26822259455980146,2.4408384022275995
82,-2.0,-1.75,0.75,1.25,0.9628728111440903,-0.2607290265595644,2.3925210842527487
83,-2.0,-1.75,0.75,1.5,0.9585588045228703,-0.2627690068434483,2.4133460670688063
84,-2.0,-1.75,0.75,1.75,0.9711428459399378,-0.2733222506329692,2.468940802313138
85,-2.0,-1.75,1.0,1.25,0.9680888057627344,-0.2589055733724155,2.4308268884858495
86,-2.0,-1.75,1.0,1.5,0.9260728914100003,-0.26859891164579164,2.3784835158072912
87,-2.0,-1.75,1.0,1.75,0.9736723957552765,-0.2529542666974789,2.5347877315911482
88,-2.0,-1.75,1.25,1.5,0.9375817293918072,-0.24967519976333163,2.533536834917777
89,-2.0,-1.75,1.25,1.75,0.8898027475761272,-0.2635301667374196,2.445084895525239
90,-2.0,-1.75,1.5,1.75,0.7114568008188168,-0.2859078584479744,2.0451261853073257
91,-2.0,-1.5,-1.25,-1.0,1.1936978780111729,-0.19224604748464869,2.3944616608018663
92,-2.0,-1.5,-1.25,-0.75,1.1959430688743968,-0.19352759646295092,2.4225467629362054
93,-2.0,-1.5,-1.25,-0.5,1.1835108461259174,-0.21487879603314797,2.4120216119477815
94,-2.0,-1.5,-1.25,-0.25,1.21008903506932,-0.1997634824120027,2.4642353281297464
95,-2.0,-1.5,-1.25,0.0,1.2442142888050254,-0.1957007185825067,2.551724665272793
96,-2.0,-1.5,-1.25,0.25,1.2302404506991604,-0.18177471096820974,2.5101497930544023
97,-2.0,-1.5,-1.25,0.5,1.1189004042263908,-0.18643276825739707,2.310790902465937
98,-2.0,-1.5,-1.25,0.75,1.2080458403795764,-0.17650432621156587,2.474202099009934
99,-2.0,-1.5,-1.25,1.0,1.323137590446312,-0.18644681334256408,2.744188292024818
100,-2.0,-1.5,-1.25,1.25,1.1977907516979218,-0.16089706989688635,2.503055407765513
101,-2.0,-1.5,-1.25,1.5,1.1405479654257293,-0.16472566594204263,2.391217672804735
102,-2.0,-1.5,-1.25,1.75,1.1736063141793096,-0.16787007680162547,2.47293307493933
103,-2.0,-1.5,-1.0,-0.75,1.167481116900877,-0.19889676670189782,2.383967286161015
104,-2.0,-1.5,-1.0,-0.5,1.176908996423396,-0.21295843796291325,2.4173893097780197
105,-2.0,-1.5,-1.0,-0.25,1.2273008440464823,-0.20491884985883246,2.527575344582172
106,-2.0,-1.5,-1.0,0.0,1.2578271779792016,-0.19736072104753055,2.6165649339179367
107,-2.0,-1.5,-1.0,0.25,1.205413323360159,-0.1949504929564324,2.4922162403866843
108,-2.0,-1.5,-1.0,0.5,1.0804080553883886,-0.20249184956747335,2.260775109215295
109,-2.0,-1.5,-1.0,0.75,1.154321273635185,-0.18763758725189494,2.393263467639601
110,-2.0,-1.5,-1.0,1.0,1.271333316115581,-0.21802257934203773,2.65319204932948
111,-2.0,-1.5,-1.0,1.25,1.1335558214235295,-0.19742438185413225,2.4028636998623663
112,-2.0,-1.5,-1.0,1.5,1.1824703115366624,-0.1993434160017511,2.5002755922341744
113,-2.0,-1.5,-1.0,1.75,1.115961433862034,-0.21284908495623178,2.381072765645315
114,-2.0,-1.5,-0.75,-0.5,1.1600445111999145,-0.20776710405955667,2.3838912854267233
115,-2.0,-1.5,-0.75,-0.25,1.1998499688726352,-0.20913780836864115,2.4745481616529723
116,-2.0,-1.5,-0.75,0.0,1.2075487667666602,-0.20051246191357075,2.513697248176992
