,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.06440981532295909,-0.21040112199489946,0.9860363343018488
1,-2.0,-1.75,-1.5,-1.0,0.03379138285927754,-0.20968336637940976,0.9575515400106269
2,-2.0,-1.75,-1.5,-0.75,0.10911184256187369,-0.21795603681010844,1.0287627168181617
3,-2.0,-1.75,-1.5,-0.5,0.11722685268275793,-0.21143171103692115,1.0368000011547476
4,-2.0,-1.75,-1.5,-0.25,0.14166524136159817,-0.20783487036579962,1.0612559609997199
5,-2.0,-1.75,-1.5,0.0,0.035068452903244104,-0.20395841533293613,0.9586566006503475
6,-2.0,-1.75,-1.5,0.25,0.06748067232132963,-0.21241457097008654,0.9883107825040492
7,-2.0,-1.75,-1.5,0.5,0.08826918921058935,-0.2075327601553083,1.0081343144910455
8,-2.0,-1.75,-1.5,0.75,0.12682091155066816,-0.19107732339394123,1.0460323290284772
9,-2.0,-1.75,-1.5,1.0,0.03381338975973671,-0.19330521882497664,0.9566069060534786
10,-2.0,-1.75,-1.5,1.25,0.03397518510952623,-0.19258450839110508,0.9563552951984722
11,-2.0,-1.75,-1.5,1.5,-0.02024633897329061,-0.20395324714110064,0.9069639397458659
12,-2.0,-1.75,-1.5,1.75,0.1427915452313212,-0.20835084189804798,1.0619624914550274
13,-2.0,-1.75,-1.25,-1.0,0.039664885512946724,-0.21196461937933786,0.9630164359189588
14,-2.0,-1.75,-1.25,-0.75,0.07678019504758693,-0.21734277044055517,0.9975400619169897
15,-2.0,-1.75,-1.25,-0.5,0.05950532785121945,-0.2099390993638799,0.9813493791050231
16,-2.0,-1.75,-1.25,-0.25,0.09546250101514542,-0.209875145356193,1.0155244208400518
17,-2.0,-1.75,-1.25,0.0,0.0026330454566995546,-0.20407998091213875,0.92926214919987
18,-2.0,-1.75,-1.25,0.25,0.031055309085577795,-0.21987278365744256,0.9543402290231072
19,-2.0,-1.75,-1.25,0.5,0.028307551150744716,-0.2095951616356655,0.9521827864186094
20,-2.0,-1.75,-1.25,0.75,0.022636990259856722,-0.1942423660487672,0.9462396736852415
21,-2.0,-1.75,-1.25,1.0,-0.024499551689973677,-0.19225118700088728,0.9048328684804675
22,-2.0,-1.75,-1.25,1.25,-0.09176686526642037,-0.19348309562547272,0.8474740727534649
23,-2.0,-1.75,-1.25,1.5,-0.17019148513542162,-0.19803497833299688,0.7852274834773402
24,-2.0,-1.75,-1.25,1.75,-0.03314338334109614,-0.20267881073397576,0.8953671335605171
25,-2.0,-1.75,-1.0,-0.75,0.1137140700485098,-0.21676984589808512,1.033237867025965
26,-2.0,-1.75,-1.0,-0.5,0.09092336469344736,-0.21069918821287892,1.010950509827461
27,-2.0,-1.75,-1.0,-0.25,0.143659793873205,-0.2085689058872806,1.0631836137086432
28,-2.0,-1.75,-1.0,0.0,0.06761179760474678,-0.2046522687587523,0.9884294245331925
29,-2.0,-1.75,-1.0,0.25,0.08344529872802792,-0.22011263552973404,1.0031320211992147
30,-2.0,-1.75,-1.0,0.5,0.09583913499189578,-0.2071157908195631,1.015307341928477
31,-2.0,-1.75,-1.0,0.75,0.04935018418689331,-0.1998223006939357,0.9705630093871439
32,-2.0,-1.75,-1.0,1.0,0.05726473783094325,-0.19537889577538836,0.978144387009198
33,-2.0,-1.75,-1.0,1.25,-0.002522256514475579,-0.19746295175906825,0.9226922809087248
34,-2.0,-1.75,-1.0,1.5,-0.01741874750724715,-0.19516081401527396,0.908585798525373
35,-2.0,-1.75,-1.0,1.75,0.10948951952519927,-0.2017849441131826,1.0278066201295708
36,-2.0,-1.75,-0.75,-0.5,0.08076572552593882,-0.21113213236613304,1.000957988899822
37,-2.0,-1.75,-0.75,-0.25,0.10868904911160633,-0.21104577679354997,1.028124913627254
38,-2.0,-1.75,-0.75,0.0,0.05459419036541928,-0.20719341427439208,0.9761427534490694
39,-2.0,-1.75,-0.75,0.25,0.05402224686255899,-0.21343893960698934,0.9752897031799702
40,-2.0,-1.75,-0.75,0.5,0.11175134810704156,-0.19870338365167828,1.0310548059556799
41,-2.0,-1.75,-0.75,0.75,0.1322216971223496,-0.190143810717053,1.051343555990166
42,-2.0,-1.75,-0.75,1.0,0.09163321101744114,-0.18386755135817512,1.01117043284853
43,-2.0,-1.75,-0.75,1.25,0.05950965448301706,-0.19425699817176845,0.9803053292650381
44,-2.0,-1.75,-0.75,1.5,0.03372459031403512,-0.19670887278590488,0.955804130845018
45,-2.0,-1.75,-0.75,1.75,0.21234470399056693,-0.19805554350059218,1.1364461039969018
46,-2.0,-1.75,-0.5,-0.25,0.093823466966238,-0.20981890396428715,1.0133830650306535
47,-2.0,-1.75,-0.5,0.0,0.06834914868831575,-0.20344838533264242,0.9887913029292933
48,-2.0,-1.75,-0.5,0.25,0.0659638783314168,-0.20332820491109505,0.986078058415508
49,-2.0,-1.75,-0.5,0.5,0.0635274751699184,-0.20098306971067448,0.9839412121826693
50,-2.0,-1.75,-0.5,0.75,0.08204380804072378,-0.19847536442549973,1.0010564891421612
51,-2.0,-1.75,-0.5,1.0,-0.01981843734588429,-0.20445778215048638,0.907221995895107
52,-2.0,-1.75,-0.5,1.25,-0.04175169944817795,-0.2118156031536481,0.8870622834236047
53,-2.0,-1.75,-0.5,1.5,-0.06051254566659943,-0.20139137935628093,0.8708926281253934
54,-2.0,-1.75,-0.5,1.75,0.03462986706381359,-0.2152773132432919,0.9532302593312653
55,-2.0,-1.75,-0.25,0.0,0.08518613969556817,-0.20506243108519984,1.0047026124974048
56,-2.0,-1.75,-0.25,0.25,0.09566666274425568,-0.19882482602584517,1.0147124964560053
57,-2.0,-1.75,-0.25,0.5,0.11198555335763294,-0.20227542745937355,1.0309380613561698
58,-2.0,-1.75,-0.25,0.75,0.14626636197786533,-0.19732572737903098,1.0656249432273892
59,-2.0,-1.75,-0.25,1.0,0.033024873038254764,-0.20120929987069724,0.9552862759550386
60,-2.0,-1.75,-0.25,1.25,-0.0318610677949457,-0.20762631760239414,0.8956776797510483
61,-2.0,-1.75,-0.25,1.5,-0.029010496046492626,-0.20406124518227142,0.8976163981030733
62,-2.0,-1.75,-0.25,1.75,0.048115455175707623,-0.2082937095925368,0.9668823247775772
63,-2.0,-1.75,0.0,0.25,0.0013027025357989633,-0.2040796687569978,0.9254617506790273
64,-2.0,-1.75,0.0,0.5,0.0009464041791474509,-0.2172736025529569,0.9254827744837141
65,-2.0,-1.75,0.0,0.75,0.11061142373328064,-0.20326790966478137,1.02868485504908
66,-2.0,-1.75,0.0,1.0,0.04569508080873253,-0.2103455119986345,0.9657863686406009
67,-2.0,-1.75,0.0,1.25,-0.013668963965811498,-0.22231869005800675,0.9104239716405236
68,-2.0,-1.75,0.0,1.5,-0.0352362519288434,-0.21233972810200452,0.8903365504522465
69,-2.0,-1.75,0.0,1.75,0.05875125621760798,-0.22338562042890975,0.9761767969328692
70,-2.0,-1.75,0.25,0.5,0.004099670730213261,-0.21961049385339826,0.926556916974386
71,-2.0,-1.75,0.25,0.75,0.12566936653403438,-0.21418752931227103,1.043432618039088
72,-2.0,-1.75,0.25,1.0,0.07163811754862363,-0.22041650419367986,0.9892514241007536
73,-2.0,-1.75,0.25,1.25,0.005925353782209904,-0.23435289259066905,0.9261923201800267
74,-2.0,-1.75,0.25,1.5,0.06242658366574377,-0.22677663512986568,0.9788078924914915
75,-2.0,-1.75,0.25,1.75,0.10153019314329707,-0.24020673956538008,1.016496438570719
76,-2.0,-1.75,0.5,0.75,0.07001586628016931,-0.22673011372763452,0.9874296913908788
77,-2.0,-1.75,0.5,1.0,-0.004988115656832256,-0.2135758012595238,0.9163104241252423
78,-2.0,-1.75,0.5,1.25,-0.0718234381974784,-0.23173823917401837,0.8566715500259562
79,-2.0,-1.75,0.5,1.5,-0.04809990085461721,-0.22478671107863735,0.8756223121321451
80,-2.0,-1.75,0.5,1.75,-0.040551740259583476,-0.22245477171418404,0.8779948195284877
81,-2.0,-1.75,0.75,1.0,0.09099309899861228,-0.20826639488195353,1.0074065917109083
82,-2.0,-1.75,0.75,1.25,0.013692245392794754,-0.23012998738294954,0.9314412275362767
83,-2.0,-1.75,0.75,1.5,-0.060108598049744895,-0.23546101099992534,0.8611859239764461
84,-2.0,-1.75,0.75,1.75,0.008660271364107568,-0.2046865818480742,0.9211223046298902
85,-2.0,-1.75,1.0,1.25,-0.06938371207802138,-0.2240933972322724,0.8528106275427169
86,-2.0,-1.75,1.0,1.5,-0.17674089289899456,-0.23377778249878056,0.7600723162208085
87,-2.0,-1.75,1.0,1.75,-0.1355838225477096,-0.23212092118491268,0.7859129912658218
88,-2.0,-1.75,1.25,1.5,-0.08398295224853117,-0.2461606007846826,0.8297592665881878
89,-2.0,-1.75,1.25,1.75,0.0418599177026592,-0.2318724721121047,0.945008630139938
90,-2.0,-1.75,1.5,1.75,-0.21118605714709424,-0.2165033425525975,0.7034741131385016
91,-2.0,-1.5,-1.25,-1.0,0.054861764373597036,-0.21352499524699686,0.9855482015001336
92,-2.0,-1.5,-1.25,-0.75,0.09602954452158988,-0.21844237917463172,1.020888649482375
93,-2.0,-1.5,-1.25,-0.5,0.07674276736313995,-0.22158406566664635,1.0040823912134904
94,-2.0,-1.5,-1.25,-0.25,0.11649777910877591,-0.2200751126023499,1.0389551690106287
95,-2.0,-1.5,-1.25,0.0,0.013724255074350898,-0.23450330555390186,0.951204580778393
96,-2.0,-1.5,-1.25,0.25,0.045213937123373876,-0.22090677702281558,0.97683252704701
97,-2.0,-1.5,-1.25,0.5,0.04223941877749807,-0.24662531660302012,0.974667186739835
98,-2.0,-1.5,-1.25,0.75,0.03582683276907463,-0.24858228155033268,0.9686139808626759
99,-2.0,-1.5,-1.25,1.0,-0.016421344599366786,-0.2290148122369401,0.9259201881903415
100,-2.0,-1.5,-1.25,1.25,-0.0911579848905432,-0.2288889375925407,0.8675167399709329
101,-2.0,-1.5,-1.25,1.5,-0.1775900225836442,-0.23959353870223565,0.803514414537112
102,-2.0,-1.5,-1.25,1.75,-0.026139201910229604,-0.192028050101274,0.916616107907772
103,-2.0,-1.5,-1.0,-0.75,0.1369868962096533,-0.21614165415421305,1.0574476742029355
104,-2.0,-1.5,-1.0,-0.5,0.1115046379828883,-0.2115037504656544,1.0344290098860935
105,-2.0,-1.5,-1.0,-0.25,0.1698674214112764,-0.21780274971778524,1.0878860344009376
106,-2.0,-1.5,-1.0,0.0,0.08595196091824003,-0.22314497043708736,1.0119267214953558
107,-2.0,-1.5,-1.0,0.25,0.1032769787216074,-0.20800413373305437,1.0268669277876823
108,-2.0,-1.5,-1.0,0.5,0.11705850637906094,-0.23311049172423737,1.03929782508412
109,-2.0,-1.5,-1.0,0.75,0.06539446857099608,-0.23750006637734689,0.9935024661485178
110,-2.0,-1.5,-1.0,1.0,0.0740608938458492,-0.21257074658437503,1.0010074710074488
111,-2.0,-1.5,-1.0,1.25,0.00781571750189303,-0.20853122414944336,0.9444768453176073
112,-2.0,-1.5,-1.0,1.5,-0.008719308236708679,-0.21518299222320914,0.9298148305170852
113,-2.0,-1.5,-1.0,1.75,0.13181085187988492,-0.2007984576560291,1.052393201128858
114,-2.0,-1.5,-0.75,-0.5,0.10020329081945868,-0.2257943448190366,1.0242745081664881
115,-2.0,-1.5,-0.75,-0.25,0.13116798341874286,-0.2257374990609553,1.0520979064847713
116,-2.0,-1.5,-0.75,0.0,0.07143706868519786,-0.2295016791694523,0.9992991822531976
117,-2.0,-1.5,-0.75,0.25,0.07055996853292726,-0.21987545127114105,0.9981483858912492
118,-2.0,-1.5,-0.75,0.5,0.13451041287229262,-0.2346851108988638,1.0551235940532304
119,-2.0,-1.5,-0.75,0.75,0.15704384804960414,-0.2273396966037169,1.0759859974823698
120,-2.0,-1.5,-0.75,1.0,0.11210652779441847,-0.19565170687346467,1.0347248432393112
121,-2.0,-1.5,-0.75,1.25,0.07669132465577867,-0.20387082278592072,1.003445642476456
122,-2.0,-1.5,-0.75,1.5,0.047804327318568665,-0.19475434805855696,0.9778467259952455
123,-2.0,-1.5,-0.75,1.75,0.24525444266048957,-0.17383300438069293,1.1631547582740367
124,-2.0,-1.5,-0.5,-0.25,0.11445658582444986,-0.22705586226975105,1.0368639380259164
125,-2.0,-1.5,-0.5,0.0,0.08654058011266869,-0.23497692608636,1.0121303310668628
126,-2.0,-1.5,-0.5,0.25,0.08357041676747361,-0.22805577479511274,1.009081513280963
127,-2.0,-1.5,-0.5,0.5,0.08106745982551818,-0.2410813280799069,1.0071044040595631
128,-2.0,-1.5,-0.5,0.75,0.10145159326044313,-0.23312106186704373,1.0247946134838497
129,-2.0,-1.5,-0.5,1.0,-0.01132313085716421,-0.23880644497759262,0.9283466020374236
130,-2.0,-1.5,-0.5,1.25,-0.03573982442326476,-0.24584787262246954,0.9082350277632351
131,-2.0,-1.5,-0.5,1.5,-0.05624713212381572,-0.22687593407207263,0.8910889451430029
132,-2.0,-1.5,-0.5,1.75,0.04836495164944204,-0.2107834792576163,0.9755809797848505
133,-2.0,-1.5,-0.25,0.0,0.10498270580634633,-0.24319816439186193,1.0282607829265806
134,-2.0,-1.5,-0.25,0.25,0.11623139806399892,-0.23736600482080816,1.03822724347199
135,-2.0,-1.5,-0.25,0.5,0.13437819124644435,-0.2523338054778681,1.054906725674826
136,-2.0,-1.5,-0.25,0.75,0.17218811104267492,-0.23664153778632735,1.0905894286337647
137,-2.0,-1.5,-0.25,1.0,0.04707984662639374,-0.21356603453074308,0.9773774898208396
138,-2.0,-1.5,-0.25,1.25,-0.024754588906122237,-0.23726894066027282,0.9169505077637446
139,-2.0,-1.5,-0.25,1.5,-0.0215753533264861,-0.23779144748071168,0.9187166044760472
140,-2.0,-1.5,-0.25,1.75,0.06342373428104142,-0.20797146533546063,0.989686351586976
141,-2.0,-1.5,0.0,0.25,0.011982651080625486,-0.2578475383813911,0.9470780811743333
142,-2.0,-1.5,0.0,0.5,0.01161149842797134,-0.2686759506865247,0.9470112773816685
143,-2.0,-1.5,0.0,0.75,0.1325773468482353,-0.2439124030525167,1.0529717716399603
144,-2.0,-1.5,0.0,1.0,0.0608703730776429,-0.2277283940053364,0.9882479159771939
145,-2.0,-1.5,0.0,1.25,-0.004681853756813128,-0.23215770378446632,0.9321460173539075
146,-2.0,-1.5,0.0,1.5,-0.028518885133651223,-0.23671607403849282,0.9113705790902132
147,-2.0,-1.5,0.0,1.75,0.07510411554554106,-0.20850050816415167,0.9994986905192964
148,-2.0,-1.5,0.25,0.5,0.014964972864586768,-0.2567518711614408,0.9484398953004575
149,-2.0,-1.5,0.25,0.75,0.14896519041692496,-0.24615687247906748,1.0684315543290592
