,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.5858030126519039,-0.1779459375925172,1.4651958490976968
1,-2.0,-1.75,-1.5,-1.0,0.5778117684285424,-0.18295859316307017,1.4563856413188843
2,-2.0,-1.75,-1.5,-0.75,0.6371206742781309,-0.16546835700224238,1.5201096489019936
3,-2.0,-1.75,-1.5,-0.5,0.6491479697895977,-0.17575757428198235,1.5379719033697978
4,-2.0,-1.75,-1.5,-0.25,0.6434738368463606,-0.17564762786627341,1.5333599134374598
5,-2.0,-1.75,-1.5,0.0,0.6412502288213966,-0.18424213063640127,1.533844710374073
6,-2.0,-1.75,-1.5,0.25,0.6542335185455367,-0.16550482739102212,1.5514606443080403
7,-2.0,-1.75,-1.5,0.5,0.657561463485749,-0.1603415311266727,1.5626032593987933
8,-2.0,-1.75,-1.5,0.75,0.7362534399982311,-0.14951083502958074,1.6571560916910986
9,-2.0,-1.75,-1.5,1.0,0.7078941000833021,-0.16058767114591743,1.6199160716707919
10,-2.0,-1.75,-1.5,1.25,0.6455255671129305,-0.15361855181257345,1.5394651887193649
11,-2.0,-1.75,-1.5,1.5,0.6479023837144253,-0.14053675081801942,1.5463290514368135
12,-2.0,-1.75,-1.5,1.75,0.6130455215102774,-0.17735051712601135,1.5046706382472501
13,-2.0,-1.75,-1.25,-1.0,0.6258476367499128,-0.18851425532489008,1.510829894842995
14,-2.0,-1.75,-1.25,-0.75,0.6677280408979926,-0.17291139674675415,1.5593275997422569
15,-2.0,-1.75,-1.25,-0.5,0.7034385651827831,-0.18084088992121428,1.6044297772972915
16,-2.0,-1.75,-1.25,-0.25,0.7102387158802874,-0.16730659982909202,1.6147524730664073
17,-2.0,-1.75,-1.25,0.0,0.7175707598480536,-0.1750165985934844,1.6253969298468662
18,-2.0,-1.75,-1.25,0.25,0.7365508654075432,-0.16480589549790636,1.6545747474198884
19,-2.0,-1.75,-1.25,0.5,0.7551715786852241,-0.15883649823649493,1.686770634586632
20,-2.0,-1.75,-1.25,0.75,0.8353865014485998,-0.14970365852336676,1.7968369033778315
21,-2.0,-1.75,-1.25,1.0,0.8058000290118039,-0.16865454077229658,1.7518096377357426
22,-2.0,-1.75,-1.25,1.25,0.8111310724558412,-0.13564167848981556,1.7552791671392638
23,-2.0,-1.75,-1.25,1.5,0.8174712637071074,-0.14101492836562068,1.7706039207480972
24,-2.0,-1.75,-1.25,1.75,0.7258781102231955,-0.14738057488139034,1.6460127447088193
25,-2.0,-1.75,-1.0,-0.75,0.7026562058176266,-0.16596197336324003,1.606226004453108
26,-2.0,-1.75,-1.0,-0.5,0.7611109689963822,-0.15489792055577234,1.6780329506445162
27,-2.0,-1.75,-1.0,-0.25,0.7550142383596038,-0.14427473710644612,1.6754737843018168
28,-2.0,-1.75,-1.0,0.0,0.8007024086502511,-0.15027181711799753,1.738855746094892
29,-2.0,-1.75,-1.0,0.25,0.8241503626074357,-0.1399159081573259,1.7772236876763343
30,-2.0,-1.75,-1.0,0.5,0.8124613756565109,-0.13969507646605905,1.7762942906026793
31,-2.0,-1.75,-1.0,0.75,0.8658000831682581,-0.14981589476778545,1.8570212035866271
32,-2.0,-1.75,-1.0,1.0,0.8330199422771641,-0.16843697842657135,1.8111426848959309
33,-2.0,-1.75,-1.0,1.25,0.8370597216357747,-0.14813068199708745,1.8108481669267018
34,-2.0,-1.75,-1.0,1.5,0.8312891344440551,-0.13612735860350123,1.8102155852184048
35,-2.0,-1.75,-1.0,1.75,0.7456546775500982,-0.15365356269114228,1.6850651109373442
36,-2.0,-1.75,-0.75,-0.5,0.746961096827178,-0.17448492840931806,1.6604936563216666
37,-2.0,-1.75,-0.75,-0.25,0.6904222332902611,-0.18059093103658141,1.594637574965752
38,-2.0,-1.75,-0.75,0.0,0.7244285554031674,-0.19102058679268108,1.6398327326643685
39,-2.0,-1.75,-0.75,0.25,0.730743146348045,-0.16561827766485282,1.654814699359114
40,-2.0,-1.75,-0.75,0.5,0.7235528998913983,-0.17339090265748625,1.6567630546150243
41,-2.0,-1.75,-0.75,0.75,0.7788354894396909,-0.18752307380786093,1.7343689117239387
42,-2.0,-1.75,-0.75,1.0,0.7430192665581233,-0.2188931626785885,1.6847703816298814
43,-2.0,-1.75,-0.75,1.25,0.6852714990441255,-0.2087791128705737,1.6161848101063983
44,-2.0,-1.75,-0.75,1.5,0.6591221620258477,-0.21437563634987877,1.585976870816556
45,-2.0,-1.75,-0.75,1.75,0.6267663456790323,-0.2253614842741446,1.538455488087683
46,-2.0,-1.75,-0.5,-0.25,0.7363453492812184,-0.1659109571958295,1.6586402304358852
47,-2.0,-1.75,-0.5,0.0,0.7604156368639462,-0.17997391322166456,1.6930769391961762
48,-2.0,-1.75,-0.5,0.25,0.7629925720476063,-0.1608375345084867,1.70819857372815
49,-2.0,-1.75,-0.5,0.5,0.7437257166125678,-0.16347761714615439,1.689100008761389
50,-2.0,-1.75,-0.5,0.75,0.815002411469229,-0.16720978659535413,1.7858959312249345
51,-2.0,-1.75,-0.5,1.0,0.7795397985936711,-0.20167562834985875,1.737078957521636
52,-2.0,-1.75,-0.5,1.25,0.7263405497634549,-0.19297770413251525,1.6725952014109406
53,-2.0,-1.75,-0.5,1.5,0.72434486950356,-0.18270432061079545,1.6752298942739485
54,-2.0,-1.75,-0.5,1.75,0.7129908022382024,-0.19835297571902355,1.6535612219455582
55,-2.0,-1.75,-0.25,0.0,0.7749743033393102,-0.17106445838728102,1.7167641284325215
56,-2.0,-1.75,-0.25,0.25,0.7494804906517144,-0.15636002247712144,1.6908632497480318
57,-2.0,-1.75,-0.25,0.5,0.7671051896241101,-0.15504344382593638,1.7222797502297371
58,-2.0,-1.75,-0.25,0.75,0.8127690584364816,-0.1589358019735272,1.7889865944939922
59,-2.0,-1.75,-0.25,1.0,0.7858283774228818,-0.19852438410591777,1.7503059315016596
60,-2.0,-1.75,-0.25,1.25,0.7838799532439715,-0.1760453345900107,1.7566106141000453
61,-2.0,-1.75,-0.25,1.5,0.8220421663080818,-0.17293061039242918,1.8180436863632543
62,-2.0,-1.75,-0.25,1.75,0.7350753408181585,-0.20152017753793205,1.6911387283720558
63,-2.0,-1.75,0.0,0.25,0.7281547643886368,-0.16356451820643425,1.6706930137806624
64,-2.0,-1.75,0.0,0.5,0.7341888775473234,-0.16275662984841943,1.6833807234002733
65,-2.0,-1.75,0.0,0.75,0.7460883099955996,-0.18039404281426652,1.7034107538173227
66,-2.0,-1.75,0.0,1.0,0.7636879674863636,-0.1968217295646757,1.7279296628400889
67,-2.0,-1.75,0.0,1.25,0.7094798772342982,-0.180998707277242,1.6619573502691296
68,-2.0,-1.75,0.0,1.5,0.7183244171685907,-0.19129289481522194,1.6764139431143992
69,-2.0,-1.75,0.0,1.75,0.6497392694690801,-0.22206736145282124,1.5854004505957815
70,-2.0,-1.75,0.25,0.5,0.7542742527015736,-0.14831760770805558,1.7190171008166524
71,-2.0,-1.75,0.25,0.75,0.7372184369719368,-0.16391941037747348,1.706088059684587
72,-2.0,-1.75,0.25,1.0,0.7661955415044646,-0.17531801329899965,1.7470040735280614
