,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.5967837063662632,-0.1817406506617869,1.6148787005444405
1,-2.0,-1.75,-1.5,-1.0,0.5948188081482454,-0.17219198807208058,1.6134054842887293
2,-2.0,-1.75,-1.5,-0.75,0.5695978311548526,-0.1863754933519164,1.5757103573280067
3,-2.0,-1.75,-1.5,-0.5,0.6470099530479569,-0.16706375562191433,1.6952130801243352
4,-2.0,-1.75,-1.5,-0.25,0.6039431834157789,-0.17210138298632305,1.6290842872238587
5,-2.0,-1.75,-1.5,0.0,0.6174233879947547,-0.1732204186011913,1.6521064153606217
6,-2.0,-1.75,-1.5,0.25,0.5907589096920277,-0.18069633847357358,1.6113927250920153
7,-2.0,-1.75,-1.5,0.5,0.6226856845359912,-0.17161054738948023,1.6599909958934056
8,-2.0,-1.75,-1.5,0.75,0.7199506277066208,-0.17457908530520838,1.8199157475730536
9,-2.0,-1.75,-1.5,1.0,0.6780231698449236,-0.17516628742151208,1.7478205233088524
10,-2.0,-1.75,-1.5,1.25,0.5511650095520221,-0.214327727743719,1.5601130291223904
11,-2.0,-1.75,-1.5,1.5,0.5648097461970445,-0.20481276363760337,1.5849695456788748
12,-2.0,-1.75,-1.5,1.75,0.6203880187901967,-0.18951238187142871,1.6698347426724829
13,-2.0,-1.75,-1.25,-1.0,0.5666262650539549,-0.17758687527989603,1.5748363838474722
14,-2.0,-1.75,-1.25,-0.75,0.5603977658072393,-0.19372030009312702,1.5642510723284837
15,-2.0,-1.75,-1.25,-0.5,0.6281961184416063,-0.1721900119946569,1.6688662368428795
16,-2.0,-1.75,-1.25,-0.25,0.5839438017317127,-0.17669874629971738,1.6011425421704362
17,-2.0,-1.75,-1.25,0.0,0.5826061899040549,-0.18140147703919718,1.6012108582476694
18,-2.0,-1.75,-1.25,0.25,0.5682740735112517,-0.18206923354499804,1.5807663558935185
19,-2.0,-1.75,-1.25,0.5,0.5632416023455863,-0.17537501307699743,1.5746049769947787
20,-2.0,-1.75,-1.25,0.75,0.64601518219621,-0.18045469735973707,1.7041451026468786
21,-2.0,-1.75,-1.25,1.0,0.6813436433544199,-0.17586407971351203,1.7601728241617562
22,-2.0,-1.75,-1.25,1.25,0.5256567466059818,-0.20840426160459258,1.5249145186531674
23,-2.0,-1.75,-1.25,1.5,0.49060532282368213,-0.20426291036375,1.4769918612394524
24,-2.0,-1.75,-1.25,1.75,0.515527284141351,-0.1733730449620755,1.5122995376176722
25,-2.0,-1.75,-1.0,-0.75,0.558049882925007,-0.1919240110241769,1.5658229852235397
26,-2.0,-1.75,-1.0,-0.5,0.6021103867252949,-0.17386325335524067,1.6343841945769946
27,-2.0,-1.75,-1.0,-0.25,0.5753008006342809,-0.17881416821429685,1.5937847244690277
28,-2.0,-1.75,-1.0,0.0,0.5595476285246411,-0.18671590139217198,1.5732239370790566
29,-2.0,-1.75,-1.0,0.25,0.5348768338114283,-0.18798165612037798,1.5360547421768538
30,-2.0,-1.75,-1.0,0.5,0.48094897635204203,-0.17920835324896023,1.4618069688844164
31,-2.0,-1.75,-1.0,0.75,0.5292468152568733,-0.18615713625331198,1.5326981063066427
32,-2.0,-1.75,-1.0,1.0,0.5659728978187692,-0.17894050168074038,1.5860941170619083
33,-2.0,-1.75,-1.0,1.25,0.40527810402319886,-0.2079626456163174,1.3637668510464804
34,-2.0,-1.75,-1.0,1.5,0.39358240226099034,-0.2158567400111029,1.350082751672493
35,-2.0,-1.75,-1.0,1.75,0.4565228712728396,-0.1976027979784175,1.4324604793909315
36,-2.0,-1.75,-0.75,-0.5,0.5884110020073882,-0.1833560554625303,1.6146227729847658
37,-2.0,-1.75,-0.75,-0.25,0.5679086078230164,-0.183747828327663,1.5857740055443552
38,-2.0,-1.75,-0.75,0.0,0.5226411374545578,-0.19606570845666071,1.523651860727815
39,-2.0,-1.75,-0.75,0.25,0.5751775571516593,-0.19380978058296428,1.6001097260712225
40,-2.0,-1.75,-0.75,0.5,0.5649402708688008,-0.1891500288362552,1.5869437838451026
41,-2.0,-1.75,-0.75,0.75,0.6177749777812885,-0.1903525728869,1.6716602973027865
42,-2.0,-1.75,-0.75,1.0,0.6531158101123873,-0.18499580406461402,1.7334783479983864
43,-2.0,-1.75,-0.75,1.25,0.5132756862773935,-0.18626199795889165,1.5188542340190974
44,-2.0,-1.75,-0.75,1.5,0.5088079659507869,-0.20310942129206988,1.5142299808183382
45,-2.0,-1.75,-0.75,1.75,0.6100879895362691,-0.18131839923515813,1.6720009300110585
46,-2.0,-1.75,-0.5,-0.25,0.5831062992793675,-0.17872157447209225,1.6114690141941628
47,-2.0,-1.75,-0.5,0.0,0.5585773185186876,-0.1853472289313648,1.5788086531184813
48,-2.0,-1.75,-0.5,0.25,0.6033656201006348,-0.1844454675997782,1.6441083268655015
49,-2.0,-1.75,-0.5,0.5,0.5902131303848434,-0.17161598480927942,1.6270130016933047
50,-2.0,-1.75,-0.5,0.75,0.6512013358798804,-0.17004654670321584,1.7261406922098097
51,-2.0,-1.75,-0.5,1.0,0.7309002287327376,-0.16724252375155657,1.8689376508805078
52,-2.0,-1.75,-0.5,1.25,0.5438395039799763,-0.19417264413308777,1.5658714814439165
53,-2.0,-1.75,-0.5,1.5,0.5175660086336404,-0.1922410175974365,1.5290389704381446
54,-2.0,-1.75,-0.5,1.75,0.591050162103197,-0.17402959304735788,1.646263587721553
55,-2.0,-1.75,-0.25,0.0,0.6300835757298716,-0.18730262644288276,1.6837404496273627
56,-2.0,-1.75,-0.25,0.25,0.6039074940956444,-0.18722537604665512,1.647676971575071
57,-2.0,-1.75,-0.25,0.5,0.5716314220667933,-0.17904926226589069,1.6006777072379332
58,-2.0,-1.75,-0.25,0.75,0.6854624274513231,-0.18307864180699662,1.7878236865979134
59,-2.0,-1.75,-0.25,1.0,0.7278458121759663,-0.18223988827162174,1.8659618002292508
60,-2.0,-1.75,-0.25,1.25,0.5366781015366212,-0.18183136553377532,1.555800651075198
61,-2.0,-1.75,-0.25,1.5,0.49037252770375106,-0.19899616727775993,1.4906679234440967
