,s_bo,s_bc,s_so,s_sc,0,1,2
0,-2.0,-1.75,-1.5,-1.25,0.5168025701153866,-0.18395091471715042,1.1116196214532095
1,-2.0,-1.75,-1.5,-1.0,0.44529029620643784,-0.18953344007575867,1.0911882356192253
2,-2.0,-1.75,-1.5,-0.75,0.5007687664224615,-0.1845822265015682,1.1072070793226219
3,-2.0,-1.75,-1.5,-0.5,0.5816487827792886,-0.1897733426024817,1.1295605889784943
4,-2.0,-1.75,-1.5,-0.25,0.6201245762890979,-0.18040160940203243,1.1407223748354425
5,-2.0,-1.75,-1.5,0.0,0.5971323357048017,-0.18461520292849665,1.1351642296371491
6,-2.0,-1.75,-1.5,0.25,0.507342450081802,-0.19894146778269184,1.1097016198956506
7,-2.0,-1.75,-1.5,0.5,0.5283151785700664,-0.1835379802266901,1.1157088719911152
8,-2.0,-1.75,-1.5,0.75,0.6612768080676645,-0.17991898285579477,1.1544757572777065
9,-2.0,-1.75,-1.5,1.0,0.6144888858542547,-0.18849374070741298,1.1412376289063986
10,-2.0,-1.75,-1.5,1.25,0.7340432124840804,-0.19178011997176003,1.17904676399413
11,-2.0,-1.75,-1.5,1.5,0.7433341692621954,-0.18572019540897,1.1799745215412194
12,-2.0,-1.75,-1.5,1.75,0.8426118710516306,-0.16590799400923195,1.2107682139016336
13,-2.0,-1.75,-1.25,-1.0,0.5432929787721643,-0.18533791866498572,1.1188342049304176
14,-2.0,-1.75,-1.25,-0.75,0.5943555729366414,-0.17710008952505862,1.1338298114215781
15,-2.0,-1.75,-1.25,-0.5,0.6049218483092623,-0.18229359578493443,1.1367917769954228
16,-2.0,-1.75,-1.25,-0.25,0.6492376103472288,-0.17446182482803352,1.1496574267234205
17,-2.0,-1.75,-1.25,0.0,0.6287331960501247,-0.17206178350021606,1.1457566081463213
18,-2.0,-1.75,-1.25,0.25,0.5925228587213909,-0.18578441828125625,1.1354870047336658
19,-2.0,-1.75,-1.25,0.5,0.5794977502815636,-0.17288761133833497,1.131515316232036
20,-2.0,-1.75,-1.25,0.75,0.6460218933680494,-0.16340734864121953,1.1510296057948148
21,-2.0,-1.75,-1.25,1.0,0.5777547213469787,-0.17315766683866152,1.1320763656237915
22,-2.0,-1.75,-1.25,1.25,0.6318809172710873,-0.17543764560799358,1.1491165280445097
23,-2.0,-1.75,-1.25,1.5,0.6425564077250364,-0.17427203538487845,1.151596530337124
24,-2.0,-1.75,-1.25,1.75,0.7647762634477078,-0.15625444655219722,1.1891794385660006
25,-2.0,-1.75,-1.0,-0.75,0.5643196278142473,-0.1787197437101774,1.1253133759702554
26,-2.0,-1.75,-1.0,-0.5,0.6054756679596004,-0.1797029887750332,1.1374203514601235
27,-2.0,-1.75,-1.0,-0.25,0.6742065155881403,-0.1722693098309196,1.1572774539867068
28,-2.0,-1.75,-1.0,0.0,0.5890133496445736,-0.17604253827955785,1.133786086642296
29,-2.0,-1.75,-1.0,0.25,0.5269016771226419,-0.19059990582441277,1.1157713171392973
30,-2.0,-1.75,-1.0,0.5,0.5170641044267548,-0.18504075132890774,1.1127505814756784
31,-2.0,-1.75,-1.0,0.75,0.5692437292613516,-0.18227517581822605,1.1282002460029432
32,-2.0,-1.75,-1.0,1.0,0.5211293807416546,-0.1909282822443904,1.115677099990601
33,-2.0,-1.75,-1.0,1.25,0.5622744537926706,-0.19425294809888316,1.1282775616063048
34,-2.0,-1.75,-1.0,1.5,0.6634429656099199,-0.18293648823895403,1.157513356569657
35,-2.0,-1.75,-1.0,1.75,0.7381712559416008,-0.16431237569407686,1.1805883055474138
36,-2.0,-1.75,-0.75,-0.5,0.6004333855728858,-0.18150438141206926,1.1358901370342531
37,-2.0,-1.75,-0.75,-0.25,0.6912706665815179,-0.17176081224681639,1.161707757888793
38,-2.0,-1.75,-0.75,0.0,0.6843068158818411,-0.17425341236813385,1.161141837765007
39,-2.0,-1.75,-0.75,0.25,0.6301548458213605,-0.1948237617855424,1.144770545450181
40,-2.0,-1.75,-0.75,0.5,0.6225265804840163,-0.1901127144324547,1.1423996325356829
41,-2.0,-1.75,-0.75,0.75,0.6735232203936743,-0.19122406670704162,1.157051565724563
42,-2.0,-1.75,-0.75,1.0,0.6417672836172785,-0.19879355738149096,1.1485659718644188
43,-2.0,-1.75,-0.75,1.25,0.6934808038307996,-0.2112586220855911,1.164692740128138
44,-2.0,-1.75,-0.75,1.5,0.762908476031827,-0.1998504536513812,1.1859512044894056
45,-2.0,-1.75,-0.75,1.75,0.9254645757126562,-0.16906627001336172,1.2357140829309778
46,-2.0,-1.75,-0.5,-0.25,0.6090956973661912,-0.17339178577620806,1.1376949405038508
47,-2.0,-1.75,-0.5,0.0,0.527872139501409,-0.1801254961282387,1.1150135132170103
48,-2.0,-1.75,-0.5,0.25,0.5214614728328881,-0.19471503559891812,1.1125714405016218
49,-2.0,-1.75,-0.5,0.5,0.4813078405550464,-0.1864205410155888,1.101538162987502
50,-2.0,-1.75,-0.5,0.75,0.6320534556635007,-0.18155007185895689,1.1439624643940445
51,-2.0,-1.75,-0.5,1.0,0.8103027243978271,-0.1877087556327044,1.1974886013749886
52,-2.0,-1.75,-0.5,1.25,0.8957775668499672,-0.19163655551146264,1.2256465198138196
53,-2.0,-1.75,-0.5,1.5,0.7787396543161517,-0.19316135868052164,1.1905234138860206
54,-2.0,-1.75,-0.5,1.75,1.0108635941716897,-0.17156409930428929,1.264219215791954
55,-2.0,-1.75,-0.25,0.0,0.4866113054156483,-0.18052021880846914,1.10439930231112
56,-2.0,-1.75,-0.25,0.25,0.43305341969728695,-0.1879799021224552,1.0891737861206874
57,-2.0,-1.75,-0.25,0.5,0.4935016684478491,-0.1692403885419742,1.1069934453298853
58,-2.0,-1.75,-0.25,0.75,0.801693159942189,-0.1477830318574599,1.1970296742453201
59,-2.0,-1.75,-0.25,1.0,0.8688994313348201,-0.15326773854984888,1.2184037231926201
60,-2.0,-1.75,-0.25,1.25,0.8101128447440047,-0.14515725786179934,1.201187797460866
61,-2.0,-1.75,-0.25,1.5,0.6101809526831453,-0.16132378049273088,1.1422700821771046
62,-2.0,-1.75,-0.25,1.75,0.7791180333385167,-0.16220146098794186,1.1965665328927404
63,-2.0,-1.75,0.0,0.25,0.6208214669381762,-0.17575322299146123,1.1445387992609044
64,-2.0,-1.75,0.0,0.5,0.6058875878724564,-0.1546757518116545,1.1413716502158742
65,-2.0,-1.75,0.0,0.75,0.8896200537483214,-0.14737220888581037,1.227452161718738
66,-2.0,-1.75,0.0,1.0,1.0266769472926518,-0.16365648279454692,1.2702986077854084
67,-2.0,-1.75,0.0,1.25,1.0008159635990281,-0.14327407750686205,1.2618529969268948
68,-2.0,-1.75,0.0,1.5,0.8733616534185614,-0.15667917845343649,1.2231442569013464
69,-2.0,-1.75,0.0,1.75,0.8656891930507752,-0.16423338101110685,1.225890793795295
70,-2.0,-1.75,0.25,0.5,0.4481922653876333,-0.17663697218280805,1.09521630272033
71,-2.0,-1.75,0.25,0.75,0.7803864319190599,-0.15428583290534947,1.1949483470965612
72,-2.0,-1.75,0.25,1.0,0.8111973825678217,-0.17247017934272657,1.203862418811932
73,-2.0,-1.75,0.25,1.25,0.9292794026245029,-0.15974567510177495,1.2427355753097318
74,-2.0,-1.75,0.25,1.5,0.8135727087100403,-0.16499636441998655,1.2108433375039287
75,-2.0,-1.75,0.25,1.75,0.8263245126388844,-0.15592961143540984,1.2185301371754313
76,-2.0,-1.75,0.5,0.75,0.6589184376356704,-0.15631472421787795,1.1578607600711681
77,-2.0,-1.75,0.5,1.0,0.617172473823213,-0.17933787285069835,1.1447040496096876
78,-2.0,-1.75,0.5,1.25,0.7122964905689979,-0.1746068790676173,1.1743522377628508
79,-2.0,-1.75,0.5,1.5,0.7503914577040844,-0.16784941491986183,1.1905896054013019
80,-2.0,-1.75,0.5,1.75,0.8177467095771167,-0.15767880266942447,1.2178798678085423
81,-2.0,-1.75,0.75,1.0,0.8749123210182496,-0.1754608756963677,1.2288013023583535
82,-2.0,-1.75,0.75,1.25,1.1170492539277903,-0.16056492378433251,1.3139245045397505
83,-2.0,-1.75,0.75,1.5,1.1306005552748262,-0.17104099036052667,1.3299129951679736
84,-2.0,-1.75,0.75,1.75,1.299724559802454,-0.17006274675325928,1.4165423862761335
85,-2.0,-1.75,1.0,1.25,0.9466448775333968,-0.19834487419590807,1.255985012611714
86,-2.0,-1.75,1.0,1.5,1.0681085529474863,-0.2046813547634736,1.313171743461162
87,-2.0,-1.75,1.0,1.75,0.8042161986623964,-0.21882200190878331,1.218376360845144
88,-2.0,-1.75,1.25,1.5,1.1320574447587302,-0.17243437629667668,1.3372267218609386
89,-2.0,-1.75,1.25,1.75,1.121402543126902,-0.17123392603716947,1.3418146505661472
90,-2.0,-1.75,1.5,1.75,0.6207696657649079,-0.20593695551186952,1.163263796247924
91,-2.0,-1.5,-1.25,-1.0,0.3579029133651544,-0.16785016278983012,1.067609817735604
92,-2.0,-1.5,-1.25,-0.75,0.4102734277654169,-0.1620857408539106,1.08198082504296
93,-2.0,-1.5,-1.25,-0.5,0.42038273817760136,-0.1641111285402883,1.0847609275606052
94,-2.0,-1.5,-1.25,-0.25,0.46384470485700335,-0.164028190043215,1.0969241392093407
95,-2.0,-1.5,-1.25,0.0,0.4466045655243848,-0.1705729066564594,1.0932309745345885
96,-2.0,-1.5,-1.25,0.25,0.4123400914002089,-0.15948559260671902,1.0836172517087372
97,-2.0,-1.5,-1.25,0.5,0.3983785076666258,-0.16650828358868996,1.0797383108231446
